"grammar","formation","meaning_en","meaning_ne","ex1","ex1_reading","ex1_en","ex1_ne","ex2","ex2_reading","ex2_en","ex2_ne","ex3","ex3_reading","ex3_en","ex3_ne","frame","nuance","spoken","contrast","trap","cloze_front","cloze_answer","disc_front","disc_options","disc_answer","disc_why","disc_wrong","contrast_front","contrast_answer","contrast_note","tags"
"〜ことがある（時々）","V-dict / V-ない + ことがある","sometimes ~; there are times when ~","कहिलेकाहीँ … हुन्छ","この電車は遅れることがあるので、早めに出よう。","このでんしゃは おくれることが あるので、はやめに でよう。","This train is sometimes late, so let's leave early.","यो ट्रेन कहिलेकाहीँ ढिलो हुन्छ, त्यसैले चाँडै निस्कौं।","忙しくて昼ご飯を食べないことがある。","いそがしくて ひるごはんを たべないことが ある。","Sometimes I'm too busy to eat lunch.","व्यस्तताले कहिलेकाहीँ खाजा खान्न।","週末は一日中家にいることがある。","しゅうまつは いちにちじゅう いえに いることが ある。","Sometimes I stay home all day on weekends.","सप्ताहन्तमा कहिलेकाहीँ दिनभर घरमै बस्छु।","[V-dict / V-ない]ことがある","Occasional occurrence, not a habit; often with たまに / 時々. Different construction from V-た + ことがある (experience).","same","ことがある ↔ たことがある","dict form + ことがある = sometimes happens; た form + ことがある = have (ever) done","この電車は遅れる＿＿＿＿＿ので、早めに出よう。","ことがある","忙しくて昼ご飯を食べない＿＿＿＿。","A ことがある / B ことはない / C ことにする / D ことだ","A ことがある","Describes something that happens now and then; 忙しくて gives the occasional cause.","B ことはない means 'no need to', which would make the sentence 'no need to skip lunch' — 忙しくて does not set that up.","You're asked whether you've ever been to Hokkaido. 北海道に行っ＿＿＿＿＿＿。","たことがある","た + ことがある = a past experience, which is what 'ever been' asks about; dict + ことがある = an occasional occurrence, which would answer a different question. 北海道に行ったことがある (I've been) / 北海道に行くことがある (I sometimes go).","N3 grammar frequency confusable"
"〜ことはない","V-dict + ことはない","no need to ~; there's no reason to ~","… गर्नु पर्दैन / … गर्नुपर्ने कारण छैन","心配することはないよ。","しんぱいすることは ないよ。","No need to worry.","चिन्ता गर्नुपर्दैन।","そんなに急ぐことはない。まだ時間がある。","そんなに いそぐことは ない。まだ じかんが ある。","No need to rush; there's still time.","त्यति हतार गर्नुपर्दैन, अझै समय छ।","全部覚えることはないが、よく出る言葉は覚えたほうがいい。","ぜんぶ おぼえることは ないが、よく でる ことばは おぼえたほうが いい。","You don't have to memorize everything, but you should learn the frequent words.","सबै कण्ठ गर्नुपर्दैन, तर धेरै आउने शब्द चाहिँ सिक्नु राम्रो।","[V-dict]ことはない","Reassures the listener that an action is unnecessary. Advisory, stronger than なくてもいい. With emotion verbs (忘れることはない) it can read 'will never', a separate use.","ことないよ (は dropped)","ことはない ↔ なくてもいい","a judgement that the action is unnecessary — not a prohibition and not ことはできない","心配する＿＿＿＿＿よ。","ことはない","そんなに急ぐ＿＿＿＿。まだ時間がある。","A ことがある / B ことはない / C ことになる / D ことか","B ことはない","まだ時間がある supports 'no need to rush'.","A ことがある would mean 'I sometimes rush', an occasional habit that the second sentence does not explain.","","","","N3 grammar necessity"
"〜ことだ（忠告）","V-dict / V-ない + ことだ","you should ~ (firm advice)","… गर्नुपर्छ (सल्लाह)","合格したければ、毎日勉強することだ。","ごうかくしたければ、まいにち べんきょうすることだ。","If you want to pass, study every day.","पास हुन चाहन्छौ भने हरेक दिन पढ्नुपर्छ।","疲れたときは、無理をしないことだ。","つかれたときは、むりを しないことだ。","When you're tired, don't push yourself.","थाकेको बेला जबरजस्ती नगर्नु।","上手になりたいなら、恥ずかしがらずに話すことだ。","じょうずに なりたいなら、はずかしがらずに はなすことだ。","If you want to get good, speak without being shy.","सिपालु हुन चाहन्छौ भने लाज नमानी बोल्नुपर्छ।","[condition]、[V-dict]ことだ","Advice from someone experienced to a specific listener, usually after a たい / なら condition. Not for stating facts.","ことだね / ことだよ (softer)","ことだ ↔ ものだ","ことだ = advice for this listener and situation; ものだ = general truth or norm for everyone","合格したければ、毎日勉強する＿＿＿。","ことだ","疲れたときは、無理をしない＿＿＿。","A ことだ / B ことがある / C ものか / D わけだ","A ことだ","Advice that follows a condition (疲れたときは).","D わけだ draws a conclusion from a known fact ('no wonder'); nothing here is being explained, it is being recommended.","A general truth about everyone, not advice to one person. 人は誰でも失敗する＿＿＿。","ものだ","ものだ states how things generally are, which fits 誰でも; ことだ addresses a listener with advice, which 人は誰でも does not set up. 早く寝ることだ (you should) / 子供は早く寝るものだ (children generally do).","N3 grammar advice confusable"
"〜ことか","疑問詞 (どんなに / 何度 / どれほど) + plain + ことか","how ~!; (exclamation of strong feeling)","कति … ! (भावुक अभिव्यक्ति)","合格して、どんなにうれしかったことか。","ごうかくして、どんなに うれしかったことか。","How happy I was to pass!","पास भएर म कति खुसी भएँ!","家族に会えなくて、どれほど寂しかったことか。","かぞくに あえなくて、どれほど さびしかったことか。","How lonely I was, not being able to see my family!","परिवार भेट्न नपाएर कति एक्लो महसुस भयो!","この日を何度夢に見たことか。","このひを なんど ゆめに みたことか。","How many times I dreamed of this day!","यो दिनको सपना कति पटक देखें!","どんなに／何度／どれほど [plain]ことか","Exclamation, not a question; requires a question word before it. Mostly written or dramatic speech.","spoken usually どんなに〜か / 〜だろう","","needs a question word (どんなに, 何度, どれほど); without one, ことか does not work","合格して、どんなにうれしかった＿＿＿。","ことか","家族に会えなくて、どれほど寂しかった＿＿＿。","A ことか / B ことだ / C ものだ / D わけだ","A ことか","どれほど + emotion → exclamation.","D わけだ would turn it into a reasoned conclusion ('so that's why I was lonely'), but どれほど demands an exclamation, not an explanation.","","","","N3 grammar emotion"
"〜ことから","plain + ことから (な-adj + な / である, N + である)","from the fact that ~; because ~ (basis for a conclusion or a name)","… भएको कारणले / … भन्ने तथ्यबाट","この町は桜が多いことから、「桜の町」と呼ばれている。","このまちは さくらが おおいことから、「さくらの まち」と よばれている。","Because it has many cherry trees, this town is called ""Cherry Town"".","धेरै साकुरा भएकोले यो सहरलाई ""साकुराको सहर"" भनिन्छ।","電気がついていることから、誰かが家にいるとわかった。","でんきが ついていることから、だれかが いえに いると わかった。","From the fact that the lights were on, I knew someone was home.","बत्ती बलेको देखेर कोही घरमा छ भन्ने थाहा भयो।","二人は名字が同じことから、よく兄弟だと間違えられる。","ふたりは みょうじが おなじことから、よく きょうだいだと まちがえられる。","Because they share a surname, they're often mistaken for brothers.","दुईजनाको थर एउटै भएकोले प्रायः दाजुभाइ ठानिन्छ।","[observable fact]ことから、[conclusion / name / judgement]","The reason is an observable fact and the main clause is an inference, a name, or a judgement. Written/formal. Not for personal excuses.","casual speech uses から / ので","ことから ↔ から","main clause is a judgement, discovery, or name — not a decision to act","この町は桜が多い＿＿＿＿、「桜の町」と呼ばれている。","ことから","電気がついている＿＿＿＿、誰かが家にいるとわかった。","A ことから / B ことだから / C ことがある / D ことに","A ことから","Observed fact → inference (とわかった).","B ことだから attaches to a person or noun and means 'as you'd expect of X'; 電気がついている is a state, not a person.","","","","N3 grammar cause"
"〜わけだ","plain + わけだ (な-adj + な, N + の / という)","no wonder ~; that means ~; so that's why ~","त्यसैले … हो / त्यसो भए … भन्ने भयो","一年間日本にいたのか。道理で日本語が上手なわけだ。","いちねんかん にほんに いたのか。どうりで にほんごが じょうずな わけだ。","You were in Japan for a year? No wonder your Japanese is good.","एक वर्ष जापानमा बसेको? त्यसैले जापानी राम्रो छ।","彼は今日休みなの？それで電話に出ないわけだ。","かれは きょう やすみなの？それで でんわに でない わけだ。","He's off today? So that's why he's not answering.","ऊ आज बिदामा छ? त्यसैले फोन नउठाएको।","三割引だから、1万円の靴は7千円になるわけだ。","さんわりびきだから、いちまんえんの くつは ななせんえんに なる わけだ。","With 30% off, the 10,000-yen shoes come to 7,000 — that's how it works out.","३०% छुट भएकाले १०,००० येनको जुत्ता ७,००० येन हुने भयो।","[known fact]。[道理で／それで／だから] [conclusion]わけだ","A conclusion that follows naturally from a fact already known; often with 道理で / それで / だから.","わけね / わけか","わけだ ↔ はずだ","わけだ = explanation of something already observed; はずだ = expectation about something not yet verified","一年間日本にいたのか。道理で日本語が上手な＿＿＿。","わけだ","彼は今日休みなの？それで電話に出ない＿＿＿。","A わけだ / B はずだ / C ことだ / D ものだ","A わけだ","それで introduces the explanation of a fact already observed (he isn't answering).","B はずだ predicts something unverified; here the not-answering is already known, so it needs an explanation, not a prediction.","You haven't checked; you predict from his schedule. 今日は休みだから、彼は家にいる＿＿＿。","はずだ","はずだ fits because whether he is home is unverified and inferred from a known plan; わけだ would require that his being home is already an observed fact being explained. 家にいるはずだ (should be home) / 道理で家にいるわけだ (no wonder he's home).","N3 grammar conclusion confusable"
"〜わけにはいかない","V-dict + わけにはいかない; V-ない + わけにはいかない (= must)","can't very well ~ (duty or circumstances forbid it); ないわけにはいかない = have no choice but to","(सामाजिक/नैतिक कारणले) … गर्न मिल्दैन; ないわけにはいかない = नगरी हुँदैन","大事な会議だから、休むわけにはいかない。","だいじな かいぎ だから、やすむわけには いかない。","It's an important meeting; I can't skip it.","महत्त्वपूर्ण मिटिङ छ, बिदा लिन मिल्दैन।","明日は試験があるので、今日は遊ぶわけにはいかない。","あしたは しけんが あるので、きょうは あそぶわけには いかない。","I have an exam tomorrow, so I can't very well go out today.","भोलि परीक्षा छ, त्यसैले आज खेल्न मिल्दैन।","上司に頼まれたので、引き受けないわけにはいかなかった。","じょうしに たのまれたので、ひきうけないわけには いかなかった。","My boss asked, so I had no choice but to take it on.","हाकिमले भनेकाले नस्वीकारी भएन।","[reason]、[V-dict]わけにはいかない","The action is physically possible but not acceptable because of duty, circumstances, or social expectation. Not できない.","わけにいかない (は dropped)","わけにはいかない ↔ わけがない","にはいかない = possible but not permitted by the situation; がない = impossible / no way it happens","大事な会議だから、休む＿＿＿＿＿＿＿。","わけにはいかない","明日は試験があるので、今日は遊ぶ＿＿＿＿＿＿。","A わけがない / B わけにはいかない / C わけではない / D ことはない","B わけにはいかない","An obligation (exam tomorrow) rules out an otherwise possible action.","A わけがない would say 'there's no way I'd play', denying the possibility; the sentence says it's inappropriate, not impossible.","You're certain a beginner cannot beat a pro. 初心者がプロに勝てる＿＿＿＿。","わけがない","わけがない fits because the point is impossibility; わけにはいかない would say winning is possible but not allowed, which makes no sense here. 勝てるわけがない (no way) / 負けるわけにはいかない (can't afford to lose).","N3 grammar obligation confusable"
"〜はずだ","plain + はずだ (な-adj + な, N + の)","should ~; is supposed to ~ (expectation based on reasons)","… हुनुपर्छ / … हुनुपर्ने हो (तर्कमा आधारित अपेक्षा)","彼は昨日出発したから、もう着いているはずだ。","かれは きのう しゅっぱつしたから、もう ついている はずだ。","He left yesterday, so he should have arrived by now.","ऊ हिजो निस्केको हो, त्यसैले अहिलेसम्म पुगिसकेको हुनुपर्छ।","会議は3時からのはずですが、まだ誰も来ていません。","かいぎは さんじからの はず ですが、まだ だれも きて いません。","The meeting is supposed to start at 3, but no one's here yet.","मिटिङ ३ बजेदेखि हुनुपर्ने हो, तर कोही आएका छैनन्।","何度も確認したから、間違いはないはずだ。","なんども かくにんしたから、まちがいは ない はずだ。","I checked many times, so there shouldn't be any mistakes.","धेरै पटक जाँचें, त्यसैले गल्ती हुनुहुँदैन।","[grounds]から、[plain]はずだ","Confident expectation from evidence, a schedule, or a rule; the fact itself is unverified and can turn out wrong (はずなのに). はずだった = was supposed to (but didn't).","はずなんだけど (a contradiction follows)","はずだ ↔ に違いない","はずだ = reasoned or schedule-based expectation; に違いない = personal conviction from clues, never 'supposed to'","彼は昨日出発したから、もう着いている＿＿＿。","はずだ","会議は3時からの＿＿＿ですが、まだ誰も来ていません。","A はず / B わけ / C つもり / D ため","A はず","Schedule-based expectation, then contradicted by が.","B わけ would make it an explanation ('that's why the meeting is at 3'), which the contradicting clause does not support.","You see wet streets and conclude it rained overnight. 道が濡れている。夜、雨が降った＿＿＿＿＿。","に違いない","に違いない fits because this is a personal conviction drawn from a clue; はずだ needs a plan, rule, or prior reasoning to lean on, and wet streets are evidence, not a schedule. 雨が降ったに違いない / 予報では雨が降るはずだ.","N3 grammar expectation confusable"
"〜はずがない","plain + はずがない (な-adj + な, N + の)","cannot possibly ~ (no logical way)","… हुनै सक्दैन (तर्कले असम्भव)","まじめな彼が遅刻するはずがない。","まじめな かれが ちこくする はずが ない。","There's no way a serious guy like him would be late.","त्यति इमानदार ऊ ढिलो आउनै सक्दैन।","昨日買ったばかりなのに、壊れるはずがない。","きのう かったばかり なのに、こわれる はずが ない。","I only bought it yesterday; it can't be broken.","हिजो मात्र किनेको, बिग्रनै सक्दैन।","この問題が小学生に解けるはずがない。","このもんだいが しょうがくせいに とける はずが ない。","An elementary schooler couldn't possibly solve this.","यो प्रश्न प्राथमिक विद्यार्थीले हल गर्नै सक्दैन।","[grounds]、[plain]はずがない","Denial based on reasoning; the speaker rejects the possibility outright.","はずない (が dropped)","はずがない ↔ ないはずだ","はずがない = it is impossible that X; ないはずだ = I expect that not-X (weaker, still open)","まじめな彼が遅刻する＿＿＿＿＿。","はずがない","昨日買ったばかりなのに、壊れる＿＿＿＿。","A はずがない / B はずだ / C わけだ / D ことはない","A はずがない","なのに + rejection of the possibility.","B はずだ would predict that it will break, which contradicts なのに.","You expect the shop is closed on a holiday but aren't certain. 今日は祝日だから、店は開いていない＿＿＿。","はずだ","ないはずだ fits because it is an expectation that could be wrong; はずがない would assert flat impossibility, too strong for 'probably closed'. 開いていないはずだ / 開いているはずがない.","N3 grammar denial confusable"
"〜に違いない","plain + に違いない (な-adj / N without だ)","must be ~; I'm sure ~","पक्कै … हो / निश्चय नै …","電気が消えている。もう寝たに違いない。","でんきが きえている。もう ねたに ちがいない。","The lights are off. They must have gone to bed.","बत्ती निभेको छ। पक्कै सुतिसके।","専門家が見て言ったのだから、この写真は本物に違いない。","せんもんかが みて いったのだから、このしゃしんは ほんものに ちがいない。","An expert looked and said so, so this photo must be real.","विशेषज्ञले हेरेर भनेकाले यो फोटो पक्कै साँचो हो।","あの人は日本語が上手だから、長く日本に住んでいるに違いない。","あのひとは にほんごが じょうず だから、ながく にほんに すんでいるに ちがいない。","Their Japanese is good, so they must have lived in Japan a long time.","उसको जापानी राम्रो छ, पक्कै धेरै समय जापानमा बसेको छ।","[clue]。[plain]に違いない","Strong subjective conviction from clues; formal/written feel. に決まっている is the blunter spoken version.","きっと〜だ; に決まってる","に違いない ↔ はずだ","に違いない cannot express 'supposed to' by schedule or rule; はずだ can","電気が消えている。もう寝た＿＿＿＿＿。","に違いない","専門家が見て言ったのだから、この写真は本物＿＿＿＿＿。","A に違いない / B のはずがない / C というわけではない / D かどうか","A に違いない","An expert's judgement gives strong grounds for conviction.","B のはずがない denies authenticity, but the expert's judgement supports it.","","","","N3 grammar conviction"
