#separator:tab
#html:false
#tags column:17
#columns:word	rank	word_furigana	reading	type	pos	english	nepali	sentence1	sentence1_en	sentence2	sentence2_en	sentence3	sentence3_en	frame	note	tags
方向	401	方向[ほうこう]	ほうこう	noun	noun	direction	दिशा	駅[えき]はこの 方向[ほうこう]で 合[あ]っていますか。	Is the station in this direction?	風[かぜ]の 方向[ほうこう]が 急[きゅう]に 変[か]わった。	The wind direction changed suddenly.	話[はなし]が 思[おも]わぬ 方向[ほうこう]に 進[すす]んだ。	The conversation went in an unexpected direction.	〜の方向／方向が変わる	方向 = direction (concrete or abstract). 方角 (ほうがく) = compass direction specifically.	N3 batch4 day17 noun
距離	402	距離[きょり]	きょり	noun	noun	distance	दूरी	家[いえ]から 会社[かいしゃ]までの 距離[きょり]は 十[じゅっ]キロある。	The distance from home to work is ten kilometers.	二人[ふたり]の 間[あいだ]には 少[すこ]し 距離[きょり]があるようだ。	There seems to be some distance between the two.	駅[えき]から 歩[ある]ける 距離[きょり]に 住[す]みたい。	I want to live within walking distance of the station.	〜までの距離／距離がある／歩ける距離	Physical and emotional distance both. 距離を置く = keep one's distance.	N3 batch4 day17 noun
速度	403	速度[そくど]	そくど	noun	noun	speed	गति	この 道[みち]の 速度[そくど] 制限[せいげん]は 五十[ごじゅっ]キロだ。	The speed limit on this road is 50 kph.	電車[でんしゃ]は 速度[そくど]を 落[お]として、ゆっくり 止[と]まった。	The train reduced speed and stopped slowly.	作業[さぎょう]の 速度[そくど]を 上[あ]げる 必要[ひつよう]がある。	We need to increase the pace of the work.	速度を上げる・落とす／速度制限	スピード is the casual loanword; 速度 is written/technical. Pairs with 制限 (batch3).	N3 batch4 day17 noun
面積	404	面積[めんせき]	めんせき	noun	noun	area (size)	क्षेत्रफल	この 部屋[へや]の 面積[めんせき]はどのくらいですか。	About how large is this room?	日本[にほん]の 国土[こくど] 面積[めんせき]はそれほど 広[ひろ]くない。	Japan's land area is not that large.	森林[しんりん]の 面積[めんせき]が 年々[ねんねん] 減[へ]っている。	Forest area is decreasing year by year.	面積が広い・狭い／〜の面積	Measured surface size. 広さ is the everyday word; 面積 is technical.	N3 batch4 day17 noun
人口	405	人口[じんこう]	じんこう	noun	noun	population	जनसंख्या	この 町[まち]の 人口[じんこう]は 約[やく] 五万人[ごまんにん]だ。	This town's population is about fifty thousand.	日本[にほん]の 人口[じんこう]は 減[へ]り 続[つづ]けている。	Japan's population keeps decreasing.	大都市[だいとし]に 人口[じんこう]が 集中[しゅうちゅう]している。	The population is concentrated in big cities.	人口が増える・減る／人口が集中する	人口 = population (reading じんこう, not にんこう). Pairs with 増加/減少 (batch2).	N3 batch4 day17 noun
数字	406	数字[すうじ]	すうじ	noun	noun	figure; number; digit	अङ्क; संख्या	この 資料[しりょう]の 数字[すうじ]が 間違[まちが]っている。	The figures in this document are wrong.	売[う]り 上[あ]げの 数字[すうじ]を 表[ひょう]にまとめた。	I summarized the sales figures in a table.	小[ちい]さな 数字[すうじ]が 読[よ]みにくい。	The small numbers are hard to read.	数字が合う・間違っている	数字 = digits/figures (data); 数 (かず) = count/quantity. For a data engineer, 数字 is your daily word.	N3 batch4 day17 noun
瞬間	407	瞬間[しゅんかん]	しゅんかん	noun	noun	moment; instant	क्षण; पल	ゴールが 決[き]まった 瞬間[しゅんかん]、 会場[かいじょう]が 沸[わ]いた。	The instant the goal was scored, the venue erupted.	その 瞬間[しゅんかん]のことは 一生[いっしょう] 忘[わす]れない。	I will never forget that moment for my whole life.	ドアを 開[あ]けた 瞬間[しゅんかん]、 猫[ねこ]が 飛[と]び 出[だ]した。	The moment I opened the door, the cat rushed out.	V-た瞬間（に）	V-た瞬間に = the instant that ~ (N3 grammar). 瞬間 = split second; 瞬間的 = momentary.	N3 batch4 day17 noun
中心	408	中心[ちゅうしん]	ちゅうしん	noun	noun	center; core	केन्द्र	町[まち]の 中心[ちゅうしん]に 大[おお]きな 公園[こうえん]がある。	There is a big park in the center of town.	彼[かれ]はいつもグループの 中心[ちゅうしん]にいる。	He is always at the center of the group.	この 計画[けいかく]は 若[わか]い 社員[しゃいん]を 中心[ちゅうしん]に 進[すす]められた。	This plan was carried out mainly by young employees.	〜の中心／Aを中心に（centered on）	Aを中心に = centered around / mainly (N3 grammar). 中央 = the middle (more spatial).	N3 batch4 day17 noun
範囲	409	範囲[はんい]	はんい	noun	noun	range; scope; extent	दायरा; क्षेत्र	試験[しけん]の 範囲[はんい]はどこまでですか。	How far does the exam range extend?	自分[じぶん]の 責任[せきにん]の 範囲[はんい]で 判断[はんだん]した。	I judged within the scope of my own responsibility.	できる 範囲[はんい]で 手伝[てつだ]います。	I will help to the extent I can.	〜の範囲／できる範囲で／範囲が広い	できる範囲で = as far as one can. Exam-study word: 試験範囲.	N3 batch4 day17 noun
位置	410	位置[いち]	いち	noun	noun / suru-verb	position; location	स्थान; स्थिति	地図[ちず]で 現在[げんざい]の 位置[いち]を 確認[かくにん]した。	I checked my current position on the map.	家具[かぐ]の 位置[いち]を 少[すこ]し 変[か]えた。	I changed the furniture's position a little.	その 店[みせ]は 駅[えき]から 近[ちか]い 位置[いち]にある。	That shop is located close to the station.	〜の位置／位置を変える／Aに位置する	位置する (suru-verb) = to be located. 場所 = place (everyday); 位置 = precise position.	N3 batch4 day17 noun
周囲	411	周囲[しゅうい]	しゅうい	noun	noun	surroundings; the people around	वरपर; छरछिमेक	周囲[しゅうい]の 意見[いけん]に 流[なが]されないようにしたい。	I want to avoid being swayed by the opinions around me.	家[いえ]の 周囲[しゅうい]を 散歩[さんぽ]した。	I took a walk around the house.	周囲[しゅうい]の 期待[きたい]が 大[おお]きくて、プレッシャーを 感[かん]じる。	The expectations of those around me are high, and I feel the pressure.	周囲の＋N／周囲を〜する	周囲 = surroundings AND the people around you. 周り (batch1) is the spoken version.	N3 batch4 day17 noun
表面	412	表面[ひょうめん]	ひょうめん	noun	noun	surface	सतह	湖[みずうみ]の 表面[ひょうめん]が 凍[こお]っている。	The surface of the lake is frozen.	この 机[つくえ]は 表面[ひょうめん]がつるつるしている。	This desk has a smooth surface.	表面[ひょうめん]だけを 見[み]て 判断[はんだん]してはいけない。	You must not judge by the surface alone.	〜の表面／表面だけ	Literal surface and surface-level (表面的). Reading ひょうめん.	N3 batch4 day17 noun
底	413	底[そこ]	そこ	noun	noun	bottom	फेद; पिँध	海[うみ]の 底[そこ]には 何[なに]があるのだろう。	I wonder what is at the bottom of the sea.	かばんの 底[そこ]に 鍵[かぎ]が 落[お]ちていた。	The key had fallen to the bottom of the bag.	彼[かれ]の 優[やさ]しさは 心[こころ]の 底[そこ]から 感[かん]じられる。	His kindness can be felt from the bottom of the heart.	〜の底／底が深い・浅い	心の底から = from the bottom of one's heart. Homophone そこ = there — kanji distinguishes.	N3 batch4 day17 noun
端	414	端[はし]	はし	noun	noun	edge; end (of a thing)	किनारा; छेउ	道[みち]の 端[はし]を 歩[ある]いてください。	Please walk on the edge of the road.	テーブルの 端[はし]にコップを 置[お]くと 危[あぶ]ない。	It is dangerous to put a cup at the edge of the table.	ノートの 端[はし]にメモを 書[か]いた。	I wrote a note in the margin of my notebook.	〜の端／端を歩く	Homophone trap: 端 (はし, edge), 橋 (はし, bridge), 箸 (はし, chopsticks) — pitch differs in speech, kanji in writing.	N3 batch4 day17 noun
隅	415	隅[すみ]	すみ	noun	noun	corner (inside)	कुना (भित्री)	部屋[へや]の 隅[すみ]にほこりが 溜[た]まっている。	Dust has collected in the corner of the room.	教室[きょうしつ]の 隅[すみ]の 席[せき]に 座[すわ]った。	I sat in the corner seat of the classroom.	隅[すみ]から 隅[すみ]まで 探[さが]したが、 見[み]つからなかった。	I searched every nook and cranny, but could not find it.	〜の隅／隅から隅まで	隅 = inside corner (of a room); 角 (かど) = outside corner (of a street). Different words.	N3 batch4 day17 noun
列	416	列[れつ]	れつ	noun	noun	line; row; queue	लाइन; पंक्ति	レジの 前[まえ]に 長[なが]い 列[れつ]ができている。	A long line has formed in front of the register.	きれいに 列[れつ]を 作[つく]って 並[なら]んでください。	Please form a neat line and wait.	前[まえ]の 列[れつ]から 順番[じゅんばん]に 座[すわ]る。	We sit down in order from the front row.	列を作る／列に並ぶ	列に並ぶ = queue up. 行列 (ぎょうれつ) = a long queue (that famous ramen line).	N3 batch4 day17 noun
幅	417	幅[はば]	はば	noun	noun	width; range	चौडाइ	この 道[みち]は 幅[はば]が 狭[せま]い。	This road is narrow in width.	テーブルの 幅[はば]を 測[はか]ってから 買[か]おう。	Let us measure the width of the table before buying.	この 仕事[しごと]を 通[とお]して、 人間[にんげん]としての 幅[はば]が 広[ひろ]がった。	Through this work, my range as a person has broadened.	幅が広い・狭い／幅を測る	Physical width and metaphorical range (幅が広い人 = a well-rounded person).	N3 batch4 day17 noun
大量	418	大量[たいりょう]	たいりょう	noun	noun / na-adjective	large quantity; mass	ठूलो परिमाण	パーティーのために 大量[たいりょう]の 料理[りょうり]を 作[つく]った。	I made a large quantity of food for the party.	この 工場[こうじょう]は 製品[せいひん]を 大量[たいりょう]に 生産[せいさん]している。	This factory produces goods in large quantities.	大量[たいりょう]のメールが 届[とど]いて、 処理[しょり]しきれない。	A huge amount of email arrived and I cannot process it all.	大量の＋N／大量に＋V	大量生産 = mass production. Opposite: 少量. 多い = many (adjective); 大量 = a large amount (noun).	N3 batch4 day17 noun
大半	419	大半[たいはん]	たいはん	noun	noun	the majority; most	अधिकांश	参加者[さんかしゃ]の 大半[たいはん]は 学生[がくせい]だった。	The majority of the participants were students.	一日[いちにち]の 大半[たいはん]を 準備[じゅんび]に 使[つか]った。	I spent the greater part of the day on preparation.	彼[かれ]の 話[はなし]の 大半[たいはん]は 冗談[じょうだん]だ。	Most of what he says is jokes.	〜の大半	大半 = most of (formal). ほとんど is the everyday equivalent. 大部分 is close.	N3 batch4 day17 noun
以降	420	以降[いこう]	いこう	noun	noun / adverb	from ~ on; after (a point in time)	…देखि यता; …पछि	来週[らいしゅう] 以降[いこう]なら、いつでも 空[あ]いています。	From next week on, I am free anytime.	五時[ごじ] 以降[いこう]は 電話[でんわ]に 出[で]られません。	After five o'clock I cannot take calls.	二十歳[はたち] 以降[いこう]、お 酒[さけ]を 飲[の]めるようになる。	From age twenty on, one is allowed to drink.	N＋以降	以降 = from that point onward (inclusive). Opposite: 以前 (batch2). Set: 以前・以後・以降.	N3 batch4 day17 noun
以外	421	以外[いがい]	いがい	noun	noun	other than; except	बाहेक	彼[かれ] 以外[いがい]、 誰[だれ]も 来[こ]なかった。	No one came except him.	英語[えいご] 以外[いがい]の 言語[げんご]も 勉強[べんきょう]したい。	I want to study languages other than English.	仕事[しごと] 以外[いがい]のことは 考[かんが]えられない。	I cannot think about anything besides work.	N＋以外（に・は・の）	TRAP: 以外 (いがい, except) vs 意外 (いがい, unexpected — batch1). Same sound! Kanji: 外 = outside → except.	N3 batch4 day17 noun
