"kanji","meaning_en","meaning_ne","jlpt","onyomi","kunyomi","words","example","example_en","example_ne","component","confusable","disc_front","disc_options","disc_answer","disc_note","tags"
"進","advance, progress","अगाडि बढ्नु","N3","シン","すす・む / すす・める","進[すす]む — to advance, progress — अगाडि बढ्नु<br>進[すす]める — to advance (tr.), proceed with — अगाडि बढाउनु<br>進歩[しんぽ] — progress — प्रगति<br>進学[しんがく] — going on to higher education — माथिल्लो पढाइमा जानु","工事[こうじ]は 予定[よてい]どおり 進[すす]んでいる。","The construction is progressing as scheduled.","निर्माण कार्य तालिकाअनुसार अगाडि बढिरहेको छ।","辶 + 隹 (a bird moving forward on a path → advance, progress)","準 (じゅん, 準備) also contains 隹","","","","","N3 kanji batch2 vocab_linked kanji_day9 verb"
"達","reach, attain; (plural)","पुग्नु; बहुवचन","N3","タツ","—","友達[ともだち] — friend — साथी<br>達成[たっせい] — achievement — प्राप्ति<br>配達[はいたつ] — delivery — डेलिभरी<br>上達[じょうたつ] — improvement (of a skill) — सीपमा सुधार","毎日[まいにち] 練習[れんしゅう]すれば 日本語[にほんご]が 上達[じょうたつ]する。","If you practice every day, your Japanese will improve.","हरेक दिन अभ्यास गरे जापानी भाषा सुध्रिन्छ।","辶 + 幸 (advancing along the road to find good fortune → reach, attain)","違 (ちが・う) = 辶 + 韋 — nearly identical at a glance","Which kanji is in 友達 (friend)? 友＿","達 / 建 / 違","達","達 has 土 over 羊 on the right. 違 has 韋 with a 口 in the middle (違う, 間違い). 建 uses 廴, not 辶.","N3 kanji batch2 vocab_linked kanji_day9 noun confusable"
"伝","convey, transmit","बताउनु, सन्देश पुर्‍याउनु","N3","デン","つた・える / つた・わる","伝[つた]える — to convey, tell — बताउनु, सन्देश दिनु<br>伝[つた]わる — to be conveyed, get across — पुग्नु (सन्देश)<br>手伝[てつだ]う — to help — सघाउनु<br>伝統[でんとう] — tradition — परम्परा<br>伝言[でんごん] — message (verbal) — सन्देश","田中[たなか]さんに よろしく 伝[つた]えてください。","Please give my regards to Tanaka.","तानाकाजीलाई मेरो नमस्कार भन्नुहोस्।","亻 + 云 (a person speaking words to pass them along → convey, transmit)","会 (あ・う) = 人 + 云; 転 (てん) reads the same in 運転","","","","","N3 kanji batch2 vocab_linked kanji_day9 verb"
"守","protect; keep (a promise)","रक्षा गर्नु, पालना गर्नु","N3","シュ / ス","まも・る","守[まも]る — to protect; to keep (a rule/promise) — रक्षा गर्नु, पालना गर्नु<br>留守[るす] — absence from home — घरमा नहुनु<br>留守番[るすばん] — house-sitting; answering machine — घर कुर्ने<br>見守[みまも]る — to watch over — हेरचाह गर्नु","約束[やくそく]は 必[かなら]ず 守[まも]ってください。","Please always keep your promises.","वाचा अवश्य पालना गर्नुहोस्।","宀 + 寸 (a hand guarding under a roof → protect, keep)","字 (じ) = 宀 + 子; 宇 (う, 宇宙) = 宀 + 于","Which kanji means 'protect / keep'? 約束を＿る","宇 / 守 / 字","守","守 has 寸 under the roof. 字 has 子 (character, 漢字). 宇 has 于 (宇宙).","N3 kanji batch2 vocab_linked kanji_day9 verb confusable"
"求","seek, request","खोज्नु, माग गर्नु","N3","キュウ","もと・める","求[もと]める — to seek, request, demand — खोज्नु, माग गर्नु<br>要求[ようきゅう] — demand — माग<br>求人[きゅうじん] — job offer, recruitment — रोजगार विज्ञापन<br>追求[ついきゅう] — pursuit — खोजी","会社[かいしゃ]は 社員[しゃいん]に 高[たか]い 能力[のうりょく]を 求[もと]めている。","The company seeks high ability from its employees.","कम्पनीले कर्मचारीबाट उच्च क्षमता खोजिरहेको छ।","十 + 氺 (reaching out in all directions to find what is needed → seek, request)","球 (たま, ball) = 王 + 求; 救 (すく・う, save) = 求 + 攵","Which kanji means 'seek / demand'? 能力を＿めている","球 / 救 / 求","求","求 stands alone. 球 has 王 on the left (野球). 救 has 攵 on the right (救急車).","N3 kanji batch2 vocab_linked kanji_day9 verb confusable"
"与","give, grant","दिनु","N3","ヨ","あた・える","与[あた]える — to give, grant; to cause (influence) — दिनु, पार्नु<br>給与[きゅうよ] — salary, pay — तलब<br>関与[かんよ] — involvement — संलग्नता","子供[こども]に 悪[わる]い 影響[えいきょう]を 与[あた]えてはいけない。","You must not have a bad influence on children.","बालबालिकामा नराम्रो प्रभाव पार्नु हुँदैन।","simplified from 與 (hands lifting up an offering to give)","写 (うつ・す, copy) — 写 has 冖 on top, 与 does not","Which kanji means 'give'? 影響を＿える","号 / 写 / 与","与","与 has no top cover. 写 has 冖 on top (写真). 号 has 口 on top (番号).","N3 kanji batch2 vocab_linked kanji_day10 verb confusable"
"受","receive; take (exam)","पाउनु; परीक्षा दिनु","N3","ジュ","う・ける / う・かる","受[う]ける — to receive; to take (an exam) — पाउनु, (परीक्षा) दिनु<br>受[う]かる — to pass (an exam) — पास हुनु<br>受付[うけつけ] — reception — रिसेप्सन<br>受験[じゅけん] — taking an exam — परीक्षा दिनु<br>受[う]け 取[と]る — to receive, accept — प्राप्त गर्नु","十二月[じゅうにがつ]に N3を 受[う]けるつもりだ。","I plan to take N3 in December.","डिसेम्बरमा N3 दिने विचार छ।","爫 + 冖 + 又 (a hand above passing an item down to a hand below to receive it)","授 (さず・ける, 授業) = 扌 + 受","Which kanji means 'receive'? 試験を＿ける","授 / 愛 / 受","受","受 stands alone. 授 adds 扌 — giving (授業). 愛 has 心 in the middle — love.","N3 kanji batch2 vocab_linked kanji_day10 verb confusable"
"得","gain, obtain; profit","प्राप्त गर्नु; लाभ","N3","トク","え・る / う・る","得[え]る — to gain, obtain — प्राप्त गर्नु<br>得意[とくい] — good at; forte — सिपालु<br>納得[なっとく] — being convinced, accepting — चित्त बुझ्नु<br>損得[そんとく] — profit and loss — नाफा-घाटा<br>〜せざるを 得[え]ない — cannot help but — नगरी सुखै छैन","彼[かれ]の 説明[せつめい]には 納得[なっとく]できない。","I can't accept his explanation.","उसको स्पष्टीकरणले मेरो चित्त बुझेन।","彳 + 日 + 寸 (walking along a path and picking up a treasure with your hand to gain it)","特 (とく, 特別) = 牛 + 寺 — same reading; 待 (ま・つ) = 彳 + 寺","Which kanji is in 納得 (convinced)? 納＿","得 / 待 / 特","得","得 has 彳 with 日 + 寸 on the right. 特 has 牛 on the left (特別). 待 has 彳 but 寺 on the right (待つ).","N3 kanji batch2 vocab_linked kanji_day10 verb noun confusable"
"取","take, get","लिनु","N3","シュ","と・る","取[と]る — to take, get — लिनु<br>受[う]け 取[と]る — to receive — प्राप्त गर्नु<br>取[と]り 消[け]す — to cancel — रद्द गर्नु<br>取[と]り 出[だ]す — to take out — निकाल्नु<br>取材[しゅざい] — news gathering, interview — रिपोर्टिङ","予約[よやく]を 取[と]り 消[け]したいのですが。","I'd like to cancel my reservation.","रिजर्भेसन रद्द गर्न चाहन्छु।","耳 + 又 (a hand taking an ear as a war trophy)","最 (もっと・も) = 日 + 取; 趣 (しゅ, 趣味) = 走 + 取","","","","","N3 kanji batch2 vocab_linked kanji_day10 verb"
"逃","escape, run away","भाग्नु","N3","トウ","に・げる / に・がす / のが・す","逃[に]げる — to run away, escape — भाग्नु<br>逃[に]がす — to let escape, set free — भाग्न दिनु<br>見逃[みのが]す — to overlook, miss — छुटाउनु","泥棒[どろぼう]は 窓[まど]から 逃[に]げた。","The thief escaped through the window.","चोर झ्यालबाट भाग्यो।","辶 + 兆 (seeing an ominous sign and running along the road to escape)","桃 (もも, peach) = 木 + 兆; 挑 (いど・む, 挑戦) = 扌 + 兆","","","","","N3 kanji batch2 vocab_linked kanji_day10 verb"
