"grammar","formation","meaning_en","meaning_ne","ex1","ex1_reading","ex1_en","ex1_ne","ex2","ex2_reading","ex2_en","ex2_ne","ex3","ex3_reading","ex3_en","ex3_ne","frame","nuance","spoken","contrast","trap","cloze_front","cloze_answer","disc_front","disc_options","disc_answer","disc_why","disc_wrong","contrast_front","contrast_answer","contrast_note","tags"
"〜たとたん（に）","V-た + とたん(に)","the moment ~ (something unexpected happened)","… गर्नेबित्तिकै (अप्रत्याशित घटना)","窓を開けたとたん、冷たい風が入ってきた。","まどを あけた とたん、つめたい かぜが はいってきた。","The moment I opened the window, cold air came in.","झ्याल खोल्नेबित्तिकै चिसो हावा छिर्‍यो।","立ち上がったとたん、めまいがした。","たちあがった とたん、めまいが した。","As soon as I stood up, I felt dizzy.","उठ्नेबित्तिकै रिंगटा लाग्यो।","彼は私の顔を見たとたんに、泣き出した。","かれは わたしの かおを みた とたんに、なきだした。","The moment he saw my face, he burst into tears.","उसले मेरो अनुहार देख्नेबित्तिकै रुन थाल्यो।","[V-た]とたん(に)、[unexpected event, past]","The second clause is something that happened, not something the speaker decided to do; past events only. Not for intentions or requests.","same","たとたん ↔ 次第; たとたん ↔ か〜ないかのうちに","the second clause must be an observed, involuntary past event; たとたん cannot be followed by しよう / します","窓を開けた＿＿＿、冷たい風が入ってきた。","とたん","立ち上がった＿＿＿、めまいがした。","A とたん / B 次第 / C うちに / D 最中に","A とたん","An involuntary event follows immediately on a completed action.","B 次第 introduces a planned future action (立ち上がり次第…) and attaches to a verb stem; めまいがした is an involuntary past event.","You'll call as soon as you arrive — a planned action. 駅に着き＿＿、電話します。","次第","次第 fits because the second clause is a deliberate future action; たとたん needs a past, involuntary event following it, so 着いたとたん電話します is wrong. 着き次第電話します / 着いたとたん雨が降り出した.","N3 grammar time confusable"
"〜最中に","V-ている + 最中に; N + の + 最中に","right in the middle of ~ (when something interrupts)","… गरिरहेकै बेला (बीचमा)","食事の最中に、電話が鳴った。","しょくじの さいちゅうに、でんわが なった。","Right in the middle of the meal, the phone rang.","खाना खाइरहेकै बेला फोन बज्यो।","会議をしている最中に、停電になった。","かいぎを している さいちゅうに、ていでんに なった。","In the middle of the meeting, the power went out.","मिटिङ चलिरहेकै बेला बत्ती गयो।","シャワーを浴びている最中に、お客さんが来た。","シャワーを あびている さいちゅうに、おきゃくさんが きた。","A visitor came while I was in the shower.","नुहाइरहेकै बेला पाहुना आए।","[ongoing action]最中に、[interruption]","Stresses that the action was at its peak when something else cut in; the second event is usually unwelcome.","最中だ (I'm in the middle of it)","最中に ↔ うちに","最中に = peak of an action plus an interruption; うちに = a window before a state ends plus a deliberate action","食事＿＿＿＿、電話が鳴った。","の最中に","会議をしている＿＿＿、停電になった。","A 最中に / B うちに / C とたん / D 次第","A 最中に","An interruption during the peak of an ongoing action.","B うちに would frame the meeting as a window to act within before it ends, but 停電 is an interruption, not an action taken while there was still time.","Doing something before the window closes. 明るい＿＿＿、帰ろう。","うちに","うちに fits because the point is acting before daylight ends; 最中に places an event at the peak of an ongoing action and pairs with an interruption, not with a deliberate 帰ろう. 明るいうちに帰る / 食事の最中に電話が鳴る.","N3 grammar time confusable"
"〜際に","V-dict / V-た + 際(に); N + の + 際(に)","on the occasion of ~; when ~ (formal)","… को बेला / … गर्दा (औपचारिक)","お帰りの際に、こちらの用紙をお出しください。","おかえりの さいに、こちらの ようしを おだし ください。","When you leave, please hand in this form.","फर्कने बेला यो फारम बुझाउनुहोस्।","申し込む際には、身分証明書が必要です。","もうしこむ さいには、みぶんしょうめいしょが ひつようです。","When applying, you need ID.","आवेदन गर्दा परिचयपत्र चाहिन्छ।","東京に来た際は、ぜひご連絡ください。","とうきょうに きた さいは、ぜひ ごれんらく ください。","When you come to Tokyo, please do get in touch.","टोकियो आउँदा अवश्य सम्पर्क गर्नुहोस्।","[occasion]際に、[instruction / request]","Formal replacement for 時に, used in notices, business, and announcements. Not for trivial everyday timing.","speech uses 時に","際に ↔ 時に (register)","formal only; 寝る際に is unnatural where 寝る時に is fine","お帰りの＿＿＿、こちらの用紙をお出しください。","際に","申し込む＿＿＿、身分証明書が必要です。","A 際には / B 最中には / C とたんに / D 次第","A 際には","A requirement stated for the occasion of applying.","B 最中には would mean 'in the very middle of applying', a peak-of-action framing, but the sentence states a requirement for the occasion itself.","","","","N3 grammar time"
"〜次第","V-stem + 次第; する-verb noun + 次第","as soon as ~ (then I will …)","… गर्नेबित्तिकै (त्यसपछि … गर्छु)","駅に着き次第、電話します。","えきに つき しだい、でんわします。","I'll call as soon as I get to the station.","स्टेसन पुग्नेबित्तिकै फोन गर्छु।","詳しいことがわかり次第、ご連絡いたします。","くわしいことが わかり しだい、ごれんらく いたします。","We'll contact you as soon as we know the details.","विस्तृत जानकारी थाहा हुनेबित्तिकै सम्पर्क गर्छौं।","準備ができ次第、出発しましょう。","じゅんびが でき しだい、しゅっぱつしましょう。","Let's leave as soon as preparations are done.","तयारी हुनेबित्तिकै प्रस्थान गरौं।","[V-stem]次第、[planned action, future]","The second clause is the speaker's intended action; formal/business register. Never with past events. (次第で = depending on, a separate entry.)","casual たらすぐ","次第 ↔ たとたん; 次第 ↔ たら","次第 + will / let's; never + past tense","駅に着き＿＿、電話します。","次第","詳しいことがわかり＿＿、ご連絡いたします。","A 次第 / B とたん / C 最中 / D きり","A 次第","A planned action to follow immediately, in business register.","B とたん needs a た-form and a past involuntary event; ご連絡いたします is a future intention.","Something unexpected happened the instant a past action occurred. ドアを開けた＿＿＿、猫が飛び出した。","とたん","とたん fits because the second clause is a past, involuntary event; 次第 would need a verb stem and a planned future action. 開けたとたん飛び出した / 開き次第入ります.","N3 grammar time confusable"
"〜につれて","V-dict / N + につれて (also につれ)","as ~ (one gradual change brings another)","… सँगसँगै (क्रमशः परिवर्तन)","年を取るにつれて、体力が落ちてきた。","としを とる につれて、たいりょくが おちてきた。","As I get older, my stamina has been dropping.","उमेर बढ्दै जाँदा शारीरिक शक्ति घट्दै गयो।","山を登るにつれて、空気が薄くなる。","やまを のぼる につれて、くうきが うすく なる。","As you climb the mountain, the air gets thinner.","पहाड चढ्दै जाँदा हावा पातलो हुँदै जान्छ।","時間がたつにつれて、悲しみは少しずつ薄れていった。","じかんが たつ につれて、かなしみは すこしずつ うすれていった。","As time passed, the sadness gradually faded.","समय बित्दै जाँदा दुःख बिस्तारै कम हुँदै गयो।","[gradual change A]につれて、[gradual change B]","Both clauses are changes; the second follows the first step by step. Not for a single event or a deliberate action.","same","につれて ↔ たびに","both sides must be gradual changes (〜てくる / 〜ていく / 〜なる); につれて cannot be followed by a decision or a one-off act","年を取る＿＿＿＿、体力が落ちてきた。","につれて","山を登る＿＿＿＿、空気が薄くなる。","A につれて / B たびに / C 最中に / D 次第","A につれて","A continuous change during a single ascent.","B たびに counts separate occasions ('each time I climb'), but the sentence describes one continuous change.","The same result recurs at each separate occasion. 彼に会う＿＿＿、元気をもらう。","たびに","たびに fits because each meeting is a separate occasion with the same result; につれて would need a gradual change on both sides (会うにつれて仲良くなる), and 元気をもらう is not a gradual change. 会うたびに元気をもらう / 会うにつれて仲良くなった.","N3 grammar change confusable"
"〜にしたがって","V-dict / N + にしたがって (also にしたがい)","as ~ (one change accompanies another)","… सँगसँगै (परिवर्तनसँगै)","経済が発展するにしたがって、環境問題も増えてきた。","けいざいが はってんする にしたがって、かんきょうもんだいも ふえてきた。","As the economy develops, environmental problems have increased too.","अर्थतन्त्र विकास हुँदै जाँदा वातावरणीय समस्या पनि बढ्दै गयो।","収入が増えるにしたがって、支出も増えた。","しゅうにゅうが ふえる にしたがって、ししゅつも ふえた。","As income rose, spending rose too.","आम्दानी बढ्दै जाँदा खर्च पनि बढ्यो।","北へ行くにしたがって、気温が下がっていく。","きたへ いく にしたがって、きおんが さがっていく。","As you go north, the temperature keeps dropping.","उत्तरतिर जाँदै जाँदा तापक्रम घट्दै जान्छ।","[change A]にしたがって、[change B]","Same pattern as につれて for paired gradual change, more formal/written. N + にしたがって with 指示 / 説明書 means 'in accordance with' — a separate use.","speech uses につれて","にしたがって ↔ につれて (interchangeable for change; only にしたがって has the 'in accordance with' use)","do not invent a meaning difference from につれて in the change use; the difference is register and the extra 'accordance' use","経済が発展する＿＿＿＿＿＿、環境問題も増えてきた。","にしたがって","収入が増える＿＿＿＿＿＿、支出も増えた。","A にしたがって / B にしては / C にとって / D にわたって","A にしたがって","Two changes rising in step.","B にしては evaluates against a norm ('for someone whose income rose'), which does not fit two parallel changes.","","","","N3 grammar change"
"〜とともに（変化）","V-dict / N + とともに","as ~; along with ~ (a change or event accompanies another)","… सँगसँगै / … सँगै","春の訪れとともに、花が咲き始めた。","はるの おとずれ とともに、はなが さきはじめた。","With the arrival of spring, flowers began to bloom.","वसन्तको आगमनसँगै फूल फुल्न थाले।","気温の上昇とともに、電力の使用量が増える。","きおんの じょうしょう とともに、でんりょくの しようりょうが ふえる。","As temperatures rise, electricity use increases.","तापक्रम बढ्दै जाँदा बिजुलीको खपत बढ्छ।","年を取るとともに、新しいことを覚えるのが難しくなった。","としを とる とともに、あたらしいことを おぼえるのが むずかしく なった。","With age, learning new things has become harder.","उमेर बढ्दै जाँदा नयाँ कुरा सिक्न गाह्रो भयो।","[N / V-dict]とともに、[accompanying change]","Formal; the second thing happens alongside the first. Attaches directly to nouns of change (上昇, 訪れ, 発展). 'Together with a person' (友達とともに) is a separate use.","speech uses と一緒に / につれて","とともに ↔ につれて","とともに takes a change noun directly (上昇とともに); につれて needs a verb or a 〜の変化-type noun — a difference of attachment, not of meaning","春の訪れ＿＿＿＿、花が咲き始めた。","とともに","気温の上昇＿＿＿＿、電力の使用量が増える。","A とともに / B にとって / C として / D にしては","A とともに","One change accompanies another.","C として would present 気温の上昇 as a role or capacity, not as an accompanying change.","","","","N3 grammar change"
"〜一方だ","V-dict (a change verb) + 一方だ","keeps on ~ing (one-directional change, often bad)","… हुँदै मात्र जान्छ (एकतर्फी परिवर्तन)","物価は上がる一方だ。","ぶっかは あがる いっぽうだ。","Prices just keep rising.","मूल्य बढ्दै मात्र जान्छ।","練習しないので、成績は下がる一方だ。","れんしゅうしない ので、せいせきは さがる いっぽうだ。","Because I don't practise, my results keep getting worse.","अभ्यास नगरेकोले नतिजा खस्कँदै मात्र जान्छ।","この町の人口は減る一方だ。","このまちの じんこうは へる いっぽうだ。","This town's population just keeps falling.","यो सहरको जनसंख्या घट्दै मात्र जान्छ।","[change verb]一方だ","The change goes only one way and does not stop; the verb is a change verb (上がる, 減る, 悪くなる). Usually a negative trend.","same; ばかりだ is a near equivalent","一方だ ↔ 一方で","一方だ sentence-final = a continuous one-way trend; 一方で mid-sentence = 'on the other hand'","物価は上がる＿＿＿。","一方だ","練習しないので、成績は下がる＿＿＿。","A 一方だ / B 一方で / C 次第だ / D きりだ","A 一方だ","A single trend continuing in one direction, sentence-final.","B 一方で is a mid-sentence connective contrasting two sides; it cannot close the sentence.","Contrasting two sides of one situation. 都会は人口が増える＿＿＿、田舎は減っている。","一方で","一方で fits because it links two contrasting facts inside one sentence; 一方だ would have to end the sentence and describe a single trend. 増える一方で、減っている / 増える一方だ.","N3 grammar change confusable"
"〜一方で","plain + 一方(で) (な-adj + な, N + である)","on the other hand; while ~","अर्कोतर्फ … / एकातिर … अर्कोतिर …","この仕事は給料がいい一方で、休みが少ない。","このしごとは きゅうりょうが いい いっぽうで、やすみが すくない。","This job pays well; on the other hand, there's little time off.","यो काममा तलब राम्रो छ, अर्कोतर्फ बिदा कम छ।","彼は厳しい一方で、優しいところもある。","かれは きびしい いっぽうで、やさしい ところも ある。","He's strict, but he also has a kind side.","ऊ कडा छ, अर्कोतर्फ नरम पक्ष पनि छ।","都会は人口が増える一方で、田舎は減っている。","とかいは じんこうが ふえる いっぽうで、いなかは へっている。","While cities gain population, rural areas are losing it.","सहरको जनसंख्या बढ्दै छ भने अर्कोतर्फ गाउँको घट्दै छ।","[side A]一方で、[side B]","Sets two aspects of the same topic side by side, often good vs bad. Formal.","speech uses けど / でも","一方で ↔ 一方だ; 一方で ↔ に対して","一方で contrasts two sides of one topic; に対して contrasts two different subjects","この仕事は給料がいい＿＿＿、休みが少ない。","一方で","彼は厳しい＿＿＿、優しいところもある。","A 一方で / B 一方だ / C 上に / D どころか","A 一方で","Two contrasting sides of one person.","C 上に stacks two items of the same polarity, but strict and kind are contrasted here.","","","","N3 grammar contrast"
"〜から〜にかけて","N1 + から + N2 + にかけて","from ~ through ~ (an approximate range of time or place)","… देखि … सम्म (अनुमानित दायरा)","今夜から明日の朝にかけて、大雨になるでしょう。","こんやから あしたの あさに かけて、おおあめに なる でしょう。","From tonight through tomorrow morning, there will likely be heavy rain.","आज रातिदेखि भोलि बिहानसम्म ठूलो पानी पर्ला।","3月から4月にかけて、桜が咲く。","さんがつから しがつに かけて、さくらが さく。","Cherry trees bloom from March into April.","मार्चदेखि अप्रिलसम्म साकुरा फुल्छ।","関東から東北にかけて、地震があった。","かんとうから とうほくに かけて、じしんが あった。","There was an earthquake from Kanto through Tohoku.","कान्तोदेखि तोहोकुसम्म भूकम्प गयो।","[start]から[end]にかけて、[spread-out event]","The endpoints are approximate and the event is spread across the range; not for a precisely bounded action.","same","から〜にかけて ↔ から〜まで","にかけて = vague span, not with precise action verbs (×9時から5時にかけて働く); まで = exact boundaries","今夜から明日の朝＿＿＿＿、大雨になるでしょう。","にかけて","3月から4月＿＿＿＿、桜が咲く。","A にかけて / B において / C として / D にしては","A にかけて","An event spread across an approximate range.","B において marks a single location or occasion and cannot pair with から to form a range.","A precisely bounded duration. 銀行は9時から3時＿＿開いている。","まで","まで fits because the endpoints are exact and the state holds across the whole span; にかけて would make the hours vague and suits events spread loosely over a range, not fixed business hours. 9時から3時まで / 夜から朝にかけて.","N3 grammar range confusable"
