"kanji","meaning_en","meaning_ne","jlpt","onyomi","kunyomi","words","example","example_en","example_ne","component","confusable","disc_front","disc_options","disc_answer","disc_note","tags"
"犯","commit (a crime)","अपराध गर्नु","N3","ハン","おか・す","犯罪[はんざい] — crime — अपराध<br>犯人[はんにん] — culprit, offender — अपराधी<br>犯[おか]す — to commit (a crime, an error) — गर्नु (अपराध)<br>防犯[ぼうはん] — crime prevention — अपराध रोकथाम","警察[けいさつ]は まだ 犯人[はんにん]を 捕[つか]まえていない。","The police haven't caught the culprit yet.","प्रहरीले अझै अपराधी पक्रेको छैन।","犭 + 卩 (a wild beast pouncing on a kneeling person to commit an offense)","狭 (せま・い) and 独 (ひと・り) also use 犭","","","","","N3 kanji batch8 vocab_linked kanji_day57 verb noun"
"罪","crime, sin, guilt","अपराध, दोष","N3","ザイ","つみ","犯罪[はんざい] — crime — अपराध<br>罪[つみ] — crime, sin, guilt — पाप, दोष<br>無罪[むざい] — not guilty — निर्दोष<br>有罪[ゆうざい] — guilty — दोषी","彼[かれ]は 自分[じぶん]の 罪[つみ]を 認[みと]めた。","He admitted his guilt.","उसले आफ्नो दोष स्वीकार गर्‍यो।","罒 + 非 (caught in a net for doing wrong)","非 (ひ) is the bottom; 買 (か・う) and 置 (お・く) also have 罒 on top","Which kanji means 'crime / guilt'? 自分の＿を認めた","罪 / 置 / 非","罪","罪 = 罒 over 非 — a net over wrongdoing. 非 alone = not (非常). 置 = 罒 over 直 (置く).","N3 kanji batch8 vocab_linked kanji_day57 noun confusable"
"警","warn, guard","चेतावनी, सुरक्षा","N3","ケイ","—","警察[けいさつ] — police — प्रहरी<br>警官[けいかん] — police officer — प्रहरी अधिकारी<br>警告[けいこく] — warning — चेतावनी<br>警備[けいび] — security, guard — सुरक्षा","地震[じしん]の 後[あと]、 津波[つなみ]の 警報[けいほう]が 出[で]た。","After the earthquake, a tsunami warning was issued.","भूकम्पपछि सुनामीको चेतावनी जारी भयो।","敬 + 言 (words spoken with vigilant respect to warn and guard)","敬 (けい, respect) is the top; 驚 (おどろ・く) = 敬 + 馬","","","","","N3 kanji batch8 vocab_linked kanji_day57 noun"
"盗","steal","चोर्नु","N3","トウ","ぬす・む","盗[ぬす]む — to steal — चोर्नु<br>泥棒[どろぼう]に 盗[ぬす]まれる — to be robbed — चोरी हुनु<br>盗難[とうなん] — theft — चोरी","自転車[じてんしゃ]を 駅前[えきまえ]で 盗[ぬす]まれた。","My bicycle was stolen in front of the station.","साइकल स्टेसन अगाडि चोरियो।","次 + 皿 (salivating greedily over another's dish to steal it)","次 (つぎ) is the top; 温 (おん) and 血 (ち) also involve 皿","","","","","N3 kanji batch8 vocab_linked kanji_day57 verb"
"殺","kill","मार्नु","N3","サツ","ころ・す","殺[ころ]す — to kill — मार्नु<br>殺人[さつじん] — murder — हत्या<br>自殺[じさつ] — suicide — आत्महत्या<br>忙殺[ぼうさつ]される — to be swamped (with work) — कामले थिचिनु","その 小説[しょうせつ]は 殺人[さつじん] 事件[じけん]から 始[はじ]まる。","That novel begins with a murder case.","त्यो उपन्यास हत्याको घटनाबाट सुरु हुन्छ।","杀 + 殳 (striking with a weapon to kill)","投 (な・げる) and 段 (だん) also have 殳 on the right","","","","","N3 kanji batch8 vocab_linked kanji_day57 verb"
"油","oil","तेल","N3","ユ","あぶら","油[あぶら] — oil — तेल<br>石油[せきゆ] — petroleum, oil — पेट्रोलियम<br>醤油[しょうゆ] — soy sauce — सोया सस<br>油断[ゆだん] — carelessness, letting one's guard down — लापरवाही","フライパンに 油[あぶら]を 少[すこ]し 入[い]れてください。","Please put a little oil in the frying pan.","प्यानमा अलिकति तेल हाल्नुहोस्।","氵 + 由 (liquid flowing from a sprout or source → oil)","由 (ゆう, 理由) is the right half; 届 (とど・く) also has 由","","","","","N3 kanji batch8 vocab_linked kanji_day58 noun"
"燃","burn","बल्नु","N3","ネン","も・える / も・やす","燃[も]える — to burn (intr.) — बल्नु<br>燃[も]やす — to burn (tr.) — बाल्नु<br>燃[も]えるごみ — burnable garbage — जल्ने फोहोर<br>燃料[ねんりょう] — fuel — इन्धन","燃[も]えるごみは 火曜日[かようび]と 金曜日[きんようび]です。","Burnable garbage is Tuesday and Friday.","जल्ने फोहोर मंगलबार र शुक्रबार हो।","火 + 然 (fire that naturally catches and flares → burn)","然 (ぜん) is the right half — 燃 adds 火","Which kanji means 'to burn'? ＿えるごみ","熱 / 燃 / 然","燃","燃 has 火 on the left. 然 alone is the suffix in 自然, 全然. 熱 = heat/fever (灬 at the bottom).","N3 kanji batch8 vocab_linked kanji_day58 verb confusable"
"焼","burn, grill, bake","पोल्नु, पकाउनु","N3","ショウ","や・く / や・ける","焼[や]く — to grill, bake, burn — पोल्नु<br>焼[や]ける — to be grilled; to get sunburnt — पाक्नु; पोल्नु<br>焼[や]き 鳥[とり] — yakitori (grilled chicken) — कुखुराको सेकुवा<br>日焼[ひや]け — sunburn, suntan — घामले पोलेको","今晩[こんばん]は 魚[さかな]を 焼[や]いて 食[た]べよう。","Let's grill fish tonight.","आज साँझ माछा पोलेर खाऔँ।","火 + 尭 (a towering fire grilling and baking food)","暁 (あかつき) = 日 + 尭","","","","","N3 kanji batch8 vocab_linked kanji_day58 verb"
"煙","smoke","धुवाँ","N3","エン","けむり / けむ・い","煙[けむり] — smoke — धुवाँ<br>煙草[たばこ] — cigarette, tobacco — चुरोट<br>禁煙[きんえん] — no smoking — धूमपान निषेध<br>煙[けむ]い — smoky — धुवाँले भरिएको","この 店[みせ]は 全席[ぜんせき] 禁煙[きんえん]です。","This place is entirely non-smoking.","यो पसल पूरै धूमपान निषेध छ।","火 + 垔 (fire trapped under earth billows up → smoke)","火 (ひ) on the left marks it as fire-related, like 燃 and 焼","","","","","N3 kanji batch8 vocab_linked kanji_day58 noun"
"凍","freeze","जम्नु","N3","トウ","こお・る / こご・える","凍[こお]る — to freeze — जम्नु<br>冷凍[れいとう] — freezing, frozen — फ्रोजन<br>冷凍食品[れいとうしょくひん] — frozen food — फ्रोजन खाना<br>凍[こご]える — to be numb with cold — जाडोले काँप्नु","冷凍[れいとう]した ご 飯[はん]を レンジで 温[あたた]めた。","I warmed the frozen rice in the microwave.","फ्रिज गरेको भात माइक्रोवेभमा तताएँ।","冫 + 東 (ice freezing over the eastern lands)","東 (ひがし) is the right half; 冷 (つめ・たい) also has 冫 (the ice radical)","Which kanji means 'to freeze'? 冷＿食品","東 / 陳 / 凍","凍","凍 has 冫 (two ice strokes) on the left. 東 alone = east. The 冫 radical marks cold, as in 冷たい.","N3 kanji batch8 vocab_linked kanji_day58 verb confusable"
"煮","boil, simmer","उमाल्नु","N3","シャ","に・る / に・える","煮[に]る — to simmer, boil — उमाल्नु<br>煮[に]える — to be cooked through — पाक्नु<br>煮物[にもの] — simmered dish — उमालेको परिकार<br>煮込[にこ]む — to stew — लामो समय पकाउनु","野菜[やさい]を 弱火[よわび]で ゆっくり 煮[に]る。","Simmer the vegetables slowly over low heat.","तरकारी सानो आगोमा बिस्तारै उमाल्नुहोस्।","者 + 灬 (someone simmering food over flames)","者 (もの) is the top; 熱 and 照 also have 灬 (the fire dots) at the bottom","","","","","N3 kanji batch8 vocab_linked kanji_day59 verb"
"蒸","steam","बाफमा पकाउनु","N3","ジョウ","む・す / む・れる","蒸[む]す — to steam — बाफमा पकाउनु<br>蒸[む]し 暑[あつ]い — hot and humid — उमसिलो<br>蒸気[じょうき] — steam, vapor — बाफ","東京[とうきょう]の 夏[なつ]は 蒸[む]し 暑[あつ]い。","Tokyo summers are hot and humid.","टोकियोको गर्मी उमसिलो हुन्छ।","艹 + 丞 + 灬 (plants heated over fire to produce rising steam)","薬 and 若 also have 艹; the 灬 at the bottom marks heat","","","","","N3 kanji batch8 vocab_linked kanji_day59 verb"
"塩","salt","नुन","N3","エン","しお","塩[しお] — salt — नुन<br>塩分[えんぶん] — salt content — नुनको मात्रा<br>塩辛[しおから]い — salty — नुनिलो<br>塩[しお]を 加[くわ]える — to add salt — नुन थप्नु","この スープは 塩[しお]が 足[た]りない。","This soup needs more salt.","यो सुपमा नुन पुगेन।","土 + 𠂉 + 口 + 皿 (earthly minerals gathered into a dish → salt)","地 (ち) and 均 (きん) also start with 土","","","","","N3 kanji batch8 vocab_linked kanji_day59 noun"
"砂","sand","बालुवा","N3","サ","すな","砂[すな] — sand — बालुवा<br>砂糖[さとう] — sugar — चिनी<br>砂漠[さばく] — desert — मरुभूमि<br>砂浜[すなはま] — sandy beach — बालुवाको किनार","コーヒーに 砂糖[さとう]を 入[い]れますか。","Do you take sugar in your coffee?","कफीमा चिनी हाल्नुहुन्छ?","石 + 少 (stones ground down into few tiny grains → sand)","石 (いし) on the left; 研 (けん) and 確 (かく) are also 石 kanji","","","","","N3 kanji batch8 vocab_linked kanji_day59 noun"
"粉","powder, flour","धुलो, पिठो","N3","フン","こな / こ","粉[こな] — powder, flour — पिठो, धुलो<br>小麦粉[こむぎこ] — wheat flour — गहुँको पिठो<br>粉薬[こなぐすり] — powdered medicine — धुलो औषधि<br>花粉[かふん] — pollen — परागकण","春[はる]は 花粉[かふん]が つらい 季節[きせつ]だ。","Spring is a rough season for pollen.","वसन्त परागकणले गाह्रो हुने मौसम हो।","米 + 分 (rice divided and ground into powder)","米 (こめ) on the left marks grain; 料 (りょう) = 米 + 斗","","","","","N3 kanji batch8 vocab_linked kanji_day59 noun"
"岩","rock","चट्टान","N3","ガン","いわ","岩[いわ] — rock — चट्टान<br>岩石[がんせき] — rock (geological) — शिला<br>溶岩[ようがん] — lava — लाभा","海[うみ]の 近[ちか]くに 大[おお]きな 岩[いわ]が ある。","There's a big rock near the sea.","समुद्र नजिक ठूलो चट्टान छ।","山 + 石 (a mountain made of giant stones → rock)","岸 (きし) = 山 + 厂 + 干 — also a 山 kanji","","","","","N3 kanji batch8 vocab_linked kanji_day60 noun"
"波","wave","छाल","N3","ハ","なみ","波[なみ] — wave — छाल<br>電波[でんぱ] — radio waves, signal — सिग्नल<br>津波[つなみ] — tsunami — सुनामी<br>波[なみ]が 高[たか]い — the waves are high — छाल ठूलो छ","今日[きょう]は 波[なみ]が 高[たか]いので 泳[およ]げない。","The waves are high today so we can't swim.","आज छाल ठूलो भएकाले पौडिन सकिँदैन।","氵 + 皮 (water stretching across the surface like skin → wave)","皮 (かわ) is the right half; 疲 (つか・れる) = 疒 + 皮; 彼 (かれ) = 彳 + 皮","","","","","N3 kanji batch8 vocab_linked kanji_day60 noun"
"湖","lake","ताल","N3","コ","みずうみ","湖[みずうみ] — lake — ताल<br>湖畔[こはん] — lakeside — तालको किनार<br>富士五湖[ふじごこ] — the Fuji Five Lakes — फुजीका पाँच ताल","山[やま]の 上[うえ]から きれいな 湖[みずうみ]が 見[み]えた。","We could see a beautiful lake from the mountaintop.","पहाडको टुप्पोबाट राम्रो ताल देखियो।","氵 + 古 + 月 (water reflecting the ancient moon → lake)","海 (うみ), 波 (なみ), 港 (みなと) — the 氵 water family","","","","","N3 kanji batch8 vocab_linked kanji_day60 noun"
"泉","spring, fountain","मूल, कुण्ड","N3","セン","いずみ","温泉[おんせん] — hot spring — तातोपानी कुण्ड<br>泉[いずみ] — spring, fountain — पानीको मूल<br>源泉[げんせん] — source, wellspring — स्रोत","週末[しゅうまつ]に 箱根[はこね]の 温泉[おんせん]に 行[い]った。","I went to a hot spring in Hakone on the weekend.","सप्ताहन्तमा हाकोनेको तातोपानी कुण्डमा गएँ।","白 + 水 (pure white water welling up from the earth → spring)","原 (げん) = 厂 + 泉; 線 (せん) = 糸 + 泉","Which kanji is in 温泉 (hot spring)? 温＿","原 / 線 / 泉","泉","泉 = 白 over 水, standing alone. 線 adds 糸 (line). 原 puts 泉 under 厂 (原因).","N3 kanji batch8 vocab_linked kanji_day60 noun confusable"
"港","harbor, port","बन्दरगाह","N3","コウ","みなと","港[みなと] — harbor, port — बन्दरगाह<br>空港[くうこう] — airport — विमानस्थल<br>港町[みなとまち] — port town — बन्दरगाह सहर","成田空港[なりたくうこう]まで 電車[でんしゃ]で 一時間[いちじかん] かかる。","It takes an hour by train to Narita Airport.","नारिता विमानस्थलसम्म रेलले एक घण्टा लाग्छ।","氵 + 巷 (a water alley where ships gather → harbor)","共 (とも) appears inside; 湖, 波 — the 氵 family","","","","","N3 kanji batch8 vocab_linked kanji_day60 noun"
"咲","bloom","फुल्नु","N3","—","さ・く","咲[さ]く — to bloom — फुल्नु<br>花[はな]が 咲[さ]く — flowers bloom — फूल फुल्नु<br>満開[まんかい]に 咲[さ]く — to be in full bloom — पूर्ण रूपमा फुल्नु","公園[こうえん]の 桜[さくら]が きれいに 咲[さ]いている。","The cherry blossoms in the park are blooming beautifully.","पार्कको सकुरा राम्ररी फुलिरहेको छ।","口 + 关 (a mouth smiling open like a flower in bloom)","笑 (わら・う) is historically related; 関 (かん) also contains 关","","","","","N3 kanji batch8 vocab_linked kanji_day61 verb"
"枝","branch","हाँगा","N3","シ","えだ","枝[えだ] — branch — हाँगा<br>小枝[こえだ] — twig — सानो हाँगा<br>枝豆[えだまめ] — edamame — हरियो भटमास","台風[たいふう]で 木[き]の 枝[えだ]が 折[お]れた。","A tree branch broke in the typhoon.","आँधीले रूखको हाँगा भाँचियो।","木 + 支 (a branch branching out to support a tree)","支 (ささ・える) is the right half; 技 (わざ) = 扌 + 支","Which kanji means 'branch'? 木の＿","技 / 支 / 枝","枝","枝 has 木 (tree) on the left. 技 has 扌 — skill (技術). 支 alone = support (支払う).","N3 kanji batch8 vocab_linked kanji_day61 noun confusable"
