"grammar","formation","meaning_en","meaning_ne","ex1","ex1_reading","ex1_en","ex1_ne","ex2","ex2_reading","ex2_en","ex2_ne","ex3","ex3_reading","ex3_en","ex3_ne","frame","nuance","spoken","contrast","trap","cloze_front","cloze_answer","disc_front","disc_options","disc_answer","disc_why","disc_wrong","contrast_front","contrast_answer","contrast_note","tags"
"〜について","N + について; についての + N","about ~; concerning ~ (topic of speaking, writing, thinking)","… को बारेमा","日本の文化について研究しています。","にほんの ぶんかに ついて けんきゅうして います。","I'm researching Japanese culture.","म जापानी संस्कृतिको बारेमा अनुसन्धान गर्दैछु।","この問題について、意見を聞かせてください。","このもんだいに ついて、いけんを きかせて ください。","Please tell me your opinion about this issue.","यो समस्याको बारेमा आफ्नो राय सुनाउनुहोस्।","環境問題についての本を借りた。","かんきょうもんだいに ついての ほんを かりた。","I borrowed a book about environmental issues.","वातावरणीय समस्याबारेको किताब सापटी लिएँ।","[topic]について [調べる／話す／書く／考える]","Marks the subject matter of an act of speaking, writing, researching, or thinking. The verb must be one of those; it is not a general 'about'.","same","について ↔ に対して","について = the content of what is said or studied; に対して = the target something is directed at","日本の文化＿＿＿＿研究しています。","について","この問題＿＿＿＿、意見を聞かせてください。","A について / B にとって / C において / D によって","A について","The issue is the subject matter of the opinion.","B にとって marks whose viewpoint is taken ('for this issue'), which cannot govern 意見を聞かせる.","A response aimed at a person. 彼は私の質問＿＿＿＿、丁寧に答えてくれた。","に対して","に対して fits because the question is the target the answer is directed at; について would make the question the subject matter discussed, but 答える points an action at it. 質問に対して答える / 質問について話す.","N3 grammar topic confusable"
"〜に関して","N + に関して; に関する + N","regarding ~; with regard to ~ (formal)","… सम्बन्धमा (औपचारिक)","その件に関して、後ほどご説明いたします。","そのけんに かんして、のちほど ごせつめい いたします。","I'll explain regarding that matter later.","त्यो विषयको सम्बन्धमा पछि व्याख्या गर्नेछु।","安全に関する規則をお読みください。","あんぜんに かんする きそくを およみ ください。","Please read the rules concerning safety.","सुरक्षासम्बन्धी नियम पढ्नुहोस्।","この事故に関して、警察が調査を始めた。","このじこに かんして、けいさつが ちょうさを はじめた。","Police have begun an investigation regarding this accident.","यो दुर्घटनाको सम्बन्धमा प्रहरीले अनुसन्धान सुरु गर्‍यो।","[matter]に関して [説明する／調査する]","Formal counterpart of について, used in business, notices, and academic writing. Same syntactic slot.","speech uses について","に関して ↔ について (register)","the difference from について is register, not meaning; do not invent a semantic distinction","その件＿＿＿＿、後ほどご説明いたします。","に関して","安全＿＿＿＿規則をお読みください。","A に関する / B に対する / C にとっての / D における","A に関する","Rules whose subject matter is safety.","B に対する would mean rules aimed at safety as a target, but rules are about safety, not directed at it.","","","","N3 grammar topic"
"〜に対して","N + に対して; に対する + N","toward ~; in response to ~ (the target of an attitude or action)","… प्रति / … को जवाफमा","彼は目上の人に対して、いつも礼儀正しい。","かれは めうえの ひとに たいして、いつも れいぎただしい。","He's always polite toward his superiors.","ऊ आफूभन्दा माथिकाप्रति सधैं शिष्ट छ।","私の質問に対して、先生は丁寧に答えてくれた。","わたしの しつもんに たいして、せんせいは ていねいに こたえて くれた。","The teacher answered my question politely.","मेरो प्रश्नको जवाफमा शिक्षकले राम्ररी उत्तर दिनुभयो।","この案に対する反対意見が多い。","このあんに たいする はんたいいけんが おおい。","There are many objections to this proposal.","यो प्रस्तावविरुद्ध धेरै विरोध छ।","[target]に対して [attitude / response]","Marks what an attitude, action, or response is aimed at. The 'in contrast with' use (兄に対して弟は) is a separate use, listed in contrast.","same","に対して ↔ について; に対して ↔ にとって","に対して = the target something is directed at; にとって = the person from whose standpoint something is judged","彼は目上の人＿＿＿＿、いつも礼儀正しい。","に対して","この案＿＿＿＿反対意見が多い。","A に対する / B に関する / C にとっての / D についての","A に対する","Objections are aimed at the proposal.","B に関する would make the proposal merely the topic of the opinions; 反対 is directed against it, so the target reading is needed.","","","","N3 grammar target"
"〜にとって","N (person or group) + にとって; にとっての + N","for ~; from the standpoint of ~","… को लागि (दृष्टिकोणबाट)","私にとって、家族が一番大切だ。","わたしに とって、かぞくが いちばん たいせつだ。","For me, family is the most important thing.","मेरो लागि परिवार सबैभन्दा महत्त्वपूर्ण छ।","外国人にとって、敬語は難しい。","がいこくじんに とって、けいごは むずかしい。","For foreigners, keigo is difficult.","विदेशीका लागि केइगो गाह्रो छ।","この写真は私にとっての宝物だ。","このしゃしんは わたしに とっての たからものだ。","This photo is a treasure to me.","यो फोटो मेरो लागि अमूल्य वस्तु हो।","[person]にとって、[evaluation: 大切だ／難しい／必要だ]","Gives the standpoint from which a judgement holds; the predicate must be an evaluation, not an action.","same","にとって ↔ に対して; にとって ↔ のために","にとって cannot take an action predicate (×私にとって本を買った); use のために for benefit","私＿＿＿＿、家族が一番大切だ。","にとって","外国人＿＿＿＿、敬語は難しい。","A にとって / B に対して / C において / D について","A にとって","Difficulty is judged from the foreigners' standpoint.","B に対して would make foreigners the target of the keigo, but 難しい is an evaluation held by them, not an action aimed at them.","Doing something for someone's benefit. 家族＿＿＿＿、毎日働いている。","のために","のために fits because the family is the beneficiary of an action; にとって requires an evaluative predicate and cannot govern 働いている. 家族のために働く / 私にとって大切だ.","N3 grammar viewpoint confusable"
"〜において","N (place, time, field) + において; における + N","in ~; at ~ (formal setting of an event)","… मा (औपचारिक स्थान/क्षेत्र)","会議は第一会議室において行われます。","かいぎは だいいち かいぎしつに おいて おこなわれます。","The meeting will be held in Conference Room 1.","बैठक पहिलो सभाकक्षमा हुनेछ।","この分野において、彼は世界的に有名だ。","このぶんやに おいて、かれは せかいてきに ゆうめいだ。","In this field, he is world-famous.","यो क्षेत्रमा ऊ विश्वप्रसिद्ध छ।","現代社会における家族の役割が変わってきた。","げんだい しゃかいに おける かぞくの やくわりが かわってきた。","The family's role in modern society has been changing.","आधुनिक समाजमा परिवारको भूमिका बदलिँदै गएको छ।","[place / field]において、[formal event or state]","Formal replacement for で marking where or in what field something takes place; used in announcements and writing.","speech uses で","において ↔ で (register)","formal only; ×コンビニにおいて買った where でconvenience-store is natural","会議は第一会議室＿＿＿＿行われます。","において","この分野＿＿＿＿、彼は世界的に有名だ。","A において / B にとって / C について / D にわたって","A において","Names the field in which the fame holds.","B にとって would make the field the standpoint holding an opinion, but a field cannot hold a viewpoint.","","","","N3 grammar place"
"〜に比べて","N + に比べて; に比べると / に比べ","compared with ~","… को तुलनामा","去年に比べて、物価がずいぶん上がった。","きょねんに くらべて、ぶっかが ずいぶん あがった。","Compared with last year, prices have risen a lot.","गत सालको तुलनामा मूल्य निकै बढेको छ।","東京に比べると、この町は静かだ。","とうきょうに くらべると、このまちは しずかだ。","Compared with Tokyo, this town is quiet.","टोकियोको तुलनामा यो सहर शान्त छ।","兄に比べて、弟は背が低い。","あにに くらべて、おとうとは せが ひくい。","Compared with the older brother, the younger one is short.","दाइको तुलनामा भाइ होचो छ।","[standard]に比べて、[subject]は[difference]","Sets a baseline and states how the subject differs; both sides must be comparable on the same measure.","same","に比べて ↔ より","に比べて sets a baseline for a general comparison; より marks the standard in a direct comparison and can attach to い-adjectives (より高い)","去年＿＿＿＿、物価がずいぶん上がった。","に比べて","東京＿＿＿＿、この町は静かだ。","A に比べると / B に対すると / C にとっては / D において","A に比べると","Tokyo is the baseline for judging quietness.","B に対すると is not a standard form; に対して would make Tokyo a target of an action, and this sentence compares.","","","","N3 grammar comparison"
"〜によると","N (information source) + によると / によれば","according to ~","… का अनुसार","天気予報によると、明日は雪が降るそうだ。","てんきよほうに よると、あしたは ゆきが ふる そうだ。","According to the forecast, it'll snow tomorrow.","मौसम पूर्वानुमान अनुसार भोलि हिउँ पर्छ रे।","新聞によれば、事故の原因はまだわからないということだ。","しんぶんに よれば、じこの げんいんは まだ わからない という ことだ。","According to the paper, the cause of the accident is still unknown.","पत्रिका अनुसार दुर्घटनाको कारण अझै थाहा छैन।","彼の話によると、店は来月閉まるらしい。","かれの はなしに よると、みせは らいげつ しまる らしい。","According to him, the shop is closing next month.","उसका अनुसार पसल अर्को महिना बन्द हुँदैछ रे।","[source]によると、[plain]そうだ／ということだ／らしい","Names the source of relayed information; the sentence must end in a hearsay form (そうだ / ということだ / らしい). Not for personal opinions.","same; casual 〜の話だと","によると ↔ によって","によると must be paired with a hearsay ending; a bare assertion after it is wrong","天気予報＿＿＿＿、明日は雪が降るそうだ。","によると","新聞＿＿＿＿、事故の原因はまだわからないということだ。","A によれば / B にとっては / C において / D に対して","A によれば","Names the newspaper as the source of relayed information.","B にとっては would make the newspaper the holder of a viewpoint, but ということだ marks the sentence as a relay, which needs a source marker.","","","","N3 grammar hearsay"
"〜をきっかけに","N + をきっかけに(して); V-た + の + をきっかけに","with ~ as the trigger; taking ~ as an opportunity","… लाई मौका बनाएर / … कारणले सुरु भएर","留学をきっかけに、日本語の勉強を始めた。","りゅうがくを きっかけに、にほんごの べんきょうを はじめた。","Studying abroad was what got me started on Japanese.","विदेश अध्ययनलाई मौका बनाएर जापानी पढ्न थालें।","病気をきっかけに、生活習慣を見直した。","びょうきを きっかけに、せいかつしゅうかんを みなおした。","My illness prompted me to review my lifestyle.","बिरामी परेपछि जीवनशैली पुनर्विचार गरें।","引っ越したのをきっかけに、家具を全部買い替えた。","ひっこしたのを きっかけに、かぐを ぜんぶ かいかえた。","Moving house was the occasion for replacing all the furniture.","सरेको मौकामा सबै फर्निचर फेरें।","[trigger]をきっかけに、[new lasting change]","One event starts something new that continues; the change is usually significant, not a one-off errand.","same","をきっかけに ↔ ついでに","をきっかけに starts a lasting change; ついでに adds a minor errand to an occasion","留学＿＿＿＿＿＿、日本語の勉強を始めた。","をきっかけに","病気＿＿＿＿＿＿、生活習慣を見直した。","A をきっかけに / B のついでに / C を中心に / D をもとに","A をきっかけに","The illness triggered a lasting change in habits.","B のついでに would treat the illness as a convenient occasion for a small errand, which does not fit a life change.","","","","N3 grammar trigger"
"〜を中心に","N + を中心に(して); を中心とする + N","centering on ~; mainly ~","… लाई केन्द्र बनाएर / मुख्यतः …","この地域を中心に、地震の被害が広がった。","このちいきを ちゅうしんに、じしんの ひがいが ひろがった。","Earthquake damage spread out from this area.","यो क्षेत्रलाई केन्द्र बनाएर भूकम्पको क्षति फैलियो।","若者を中心に、この歌が流行している。","わかものを ちゅうしんに、このうたが りゅうこうして いる。","This song is popular mainly among young people.","युवाहरूमाझ यो गीत लोकप्रिय छ।","文法を中心に勉強するつもりだ。","ぶんぽうを ちゅうしんに べんきょうする つもりだ。","I plan to study with a focus on grammar.","व्याकरणलाई केन्द्रमा राखेर पढ्ने योजना छ।","[core]を中心に、[activity spreading around it]","Marks the core of a group, area, or activity, with the rest arranged around it.","same","を中心に ↔ をもとに","を中心に = the focus or core; をもとに = the source material something is built from","この地域＿＿＿＿＿、地震の被害が広がった。","を中心に","若者＿＿＿＿＿、この歌が流行している。","A を中心に / B をもとに / C をきっかけに / D を通して","A を中心に","Young people are the core group among whom it spreads.","B をもとに would make young people the source material the song was based on, which is not the meaning.","","","","N3 grammar focus"
"〜を通して","N + を通して / を通じて","through ~ (a medium, an intermediary, or a whole period)","… मार्फत / … भरि","彼女とは友達を通して知り合った。","かのじょとは ともだちを とおして しりあった。","I met her through a friend.","उनीसँग साथी मार्फत चिनजान भयो।","この経験を通して、多くのことを学んだ。","このけいけんを とおして、おおくのことを まなんだ。","Through this experience, I learned a lot.","यो अनुभव मार्फत धेरै कुरा सिकें।","この地方は一年を通して雨が多い。","このちほうは いちねんを とおして あめが おおい。","This region has a lot of rain all year round.","यो क्षेत्रमा वर्षभरि पानी धेरै पर्छ।","[medium]を通して、[result] ・ [period]を通して","Two uses: the means or intermediary by which something happens, and a whole period throughout which something holds.","same","を通して ↔ によって","を通して = the channel or intermediary passed through; によって = the direct agent or means","彼女とは友達＿＿＿＿知り合った。","を通して","この地方は一年＿＿＿＿雨が多い。","A を通して / B にわたって / C を中心に / D において","A を通して","A state holding throughout a full cycle of one year.","B にわたって stresses covering a span of scale (三年にわたる工事) and is odd with 一年 as a repeating cycle; を通して is the set expression for 'all year round'.","","","","N3 grammar means"
"〜をはじめ","N + をはじめ(として); をはじめとする + N","starting with ~; ~ and others (a leading example)","… लगायत","日本には東京をはじめ、大きな都市がたくさんある。","にほんには とうきょうを はじめ、おおきな としが たくさん ある。","Japan has many big cities, starting with Tokyo.","जापानमा टोकियो लगायत धेरै ठूला सहर छन्।","社長をはじめ、社員全員が式に出席した。","しゃちょうを はじめ、しゃいん ぜんいんが しきに しゅっせきした。","Everyone from the president on down attended the ceremony.","सभापति लगायत सबै कर्मचारी समारोहमा उपस्थित भए।","この病院には内科をはじめとする多くの科がある。","このびょういんには ないかを はじめと する おおくの かが ある。","This hospital has many departments, beginning with internal medicine.","यो अस्पतालमा आन्तरिक विभाग लगायत धेरै विभाग छन्।","[leading example]をはじめ、[the rest of the group]","Names the most representative member first, then indicates the whole group; formal.","written/formal","をはじめ ↔ など","をはじめ needs a group after it, and the named item must be the leading or most representative member","日本には東京＿＿＿＿、大きな都市がたくさんある。","をはじめ","社長＿＿＿＿、社員全員が式に出席した。","A をはじめ / B を中心に / C をもとに / D をきっかけに","A をはじめ","The president heads a list that covers the whole staff.","B を中心に would make the president the core the event revolved around, but 全員が出席した lists the group, not a centre.","","","","N3 grammar enumeration"
"〜をもとに","N + をもとに(して); をもとにした + N","based on ~ (using it as source material)","… को आधारमा (सामग्रीको रूपमा)","この映画は実話をもとに作られた。","このえいがは じつわを もとに つくられた。","This film was made based on a true story.","यो चलचित्र साँचो कथाको आधारमा बनेको हो।","アンケートの結果をもとに、商品を改良した。","アンケートの けっかを もとに、しょうひんを かいりょうした。","We improved the product based on the survey results.","सर्वेक्षणको नतिजाको आधारमा उत्पादन सुधार गर्‍यौं।","この小説をもとにしたドラマが放送される。","このしょうせつを もとに した ドラマが ほうそうされる。","A drama based on this novel will be broadcast.","यो उपन्यासमा आधारित नाटक प्रसारण हुनेछ।","[source material]をもとに、[something created]","The noun is raw material or data used to make something new; the main clause is usually a creating or revising verb.","same","をもとに ↔ に基づいて","をもとに = material something is built from; not for following a rule (規則をもとに is odd; use に従って)","この映画は実話＿＿＿＿作られた。","をもとに","アンケートの結果＿＿＿＿、商品を改良した。","A をもとに / B を中心に / C を通して / D をはじめ","A をもとに","The results are the data the improvement was built on.","C を通して would make the results a channel passed through, but they are the source material used.","","","","N3 grammar basis"
"〜かわりに","V-dict / plain + かわりに; N + の + かわりに","instead of ~; in exchange for ~","… को सट्टा / … को बदलामा","バターのかわりにオリーブオイルを使った。","バターの かわりに オリーブオイルを つかった。","I used olive oil instead of butter.","मक्खनको सट्टा जैतुनको तेल प्रयोग गरें।","父のかわりに私が会議に出た。","ちちの かわりに わたしが かいぎに でた。","I attended the meeting in place of my father.","बुबाको सट्टा म बैठकमा गएँ।","手伝ってもらうかわりに、昼ご飯をおごった。","てつだって もらう かわりに、ひるごはんを おごった。","In exchange for their help, I bought them lunch.","सहयोग पाएको बदलामा खाजा खुवाएँ।","[N]のかわりに [substitute] ・ [V-dict]かわりに [compensation]","Substitution (one thing takes another's place) or exchange (one thing balances another).","same","かわりに ↔ ついでに","かわりに replaces or balances; ついでに adds a second act on the same occasion","バター＿＿＿＿＿オリーブオイルを使った。","のかわりに","手伝ってもらう＿＿＿＿、昼ご飯をおごった。","A かわりに / B ついでに / C うちに / D 上に","A かわりに","Lunch balances the help received.","B ついでに would make lunch a minor errand added to being helped, but it is compensation given in exchange.","","","","N3 grammar substitution"
"〜とおりに","V-dict / V-た + とおりに; N + の + とおりに (N + どおりに)","just as ~; exactly as ~","… अनुसार / जसरी … त्यसरी नै","先生が言ったとおりにやってみた。","せんせいが いった とおりに やって みた。","I tried doing it exactly as the teacher said.","शिक्षकले भनेजस्तै गरेर हेरें।","説明書のとおりに組み立ててください。","せつめいしょの とおりに くみたてて ください。","Please assemble it according to the manual.","निर्देशिका अनुसार जोड्नुहोस्।","予想どおりに、彼が優勝した。","よそうどおりに、かれが ゆうしょうした。","Just as expected, he won.","अपेक्षा अनुसार नै उसले जित्यो।","[model]とおりに、[action matching it]","The action matches the model exactly. Attached directly to a noun it becomes どおりに (予定どおり, 予想どおり).","same","とおりに ↔ ように","とおりに = exactly matching a stated model; ように = in a manner resembling, or a purpose — not exact reproduction","先生が言った＿＿＿＿やってみた。","とおりに","説明書＿＿＿＿組み立ててください。","A のとおりに / B のように / C のかわりに / D のうちに","A のとおりに","Assembly must match the manual exactly.","B のように would mean 'in a manner resembling a manual', a simile, not exact compliance.","","","","N3 grammar manner"
"〜向け","N + 向け(の) + N; 向けに + V","aimed at ~; made for ~ (intended audience)","… का लागि बनाइएको (लक्षित)","これは子供向けの本です。","これは こどもむけの ほん です。","This is a book for children.","यो बालबालिकाका लागि बनेको किताब हो।","この会社は海外向けに製品を作っている。","このかいしゃは かいがいむけに せいひんを つくって いる。","This company makes products for overseas markets.","यो कम्पनीले विदेशी बजारका लागि उत्पादन बनाउँछ।","初心者向けの日本語教室に通っている。","しょしんしゃむけの にほんご きょうしつに かよって いる。","I attend a Japanese class aimed at beginners.","नयाँ सिक्नेका लागि जापानी कक्षामा जान्छु।","[target audience]向けの[product / service]","The thing was deliberately made or aimed at that audience.","same","向け ↔ 向き","向け = deliberately targeted at; 向き = happens to suit, not made for that group","これは子供＿＿＿本です。","向けの","この会社は海外＿＿＿製品を作っている。","A 向けに / B 向きに / C にとって / D として","A 向けに","The products are deliberately made for overseas markets.","B 向きに would say the products happen to suit overseas markets, but 作っている states deliberate targeting.","Something that happens to suit a group without being made for it. この料理は薄味なので、お年寄り＿＿＿だ。","向き","向き fits because the dish merely suits older people as a consequence of being mild; 向け would claim it was deliberately produced for them, which 薄味なので does not support. お年寄り向きの料理 / 子供向けの番組.","N3 grammar target confusable"
"〜はもちろん","N + はもちろん(のこと)、〜も","not to mention ~; ~ of course, and also ~","… त भइहाल्यो, … पनि","彼は英語はもちろん、フランス語も話せる。","かれは えいごは もちろん、フランスごも はなせる。","He speaks French as well as English, of course.","उसले अंग्रेजी त भइहाल्यो, फ्रान्सेली पनि बोल्छ।","この店は味はもちろん、サービスもいい。","このみせは あじは もちろん、サービスも いい。","The taste goes without saying, and the service is good too.","यो पसलको स्वाद त भइहाल्यो, सेवा पनि राम्रो छ।","週末はもちろん、平日も混んでいる。","しゅうまつは もちろん、へいじつも こんで いる。","It's crowded on weekdays too, never mind weekends.","सप्ताहन्त त भइहाल्यो, कार्यदिनमा पनि भिड हुन्छ।","[obvious X]はもちろん、[additional Y]も","X is taken for granted and Y is the noteworthy addition; the second clause needs も.","same","はもちろん ↔ だけでなく","はもちろん presents X as too obvious to argue; だけでなく simply adds Y without that assumption","彼は英語＿＿＿＿＿、フランス語も話せる。","はもちろん","この店は味＿＿＿＿＿、サービスもいい。","A はもちろん / B に反して / C どころか / D にしては","A はもちろん","Taste is taken as given; service is the added point.","C どころか would deny the taste is good and claim something more extreme, but the sentence praises both.","","","","N3 grammar addition"
"〜に加えて","N + に加えて; に加え","in addition to ~","… मा थपेर / … का अतिरिक्त","大雨に加えて、風も強くなってきた。","おおあめに くわえて、かぜも つよく なってきた。","In addition to heavy rain, the wind has picked up.","ठूलो पानीमा थपेर हावा पनि तेज भयो।","授業料に加えて、教材費も必要です。","じゅぎょうりょうに くわえて、きょうざいひも ひつようです。","In addition to tuition, materials fees are required.","शुल्कका अतिरिक्त सामग्री खर्च पनि चाहिन्छ।","彼は経験に加えて、語学力もある。","かれは けいけんに くわえて、ごがくりょくも ある。","On top of experience, he has language ability.","अनुभवका अतिरिक्त उसमा भाषा क्षमता पनि छ।","[N]に加えて、[additional N]も","Adds a second item of the same kind; formal and noun-based.","speech uses それに","に加えて ↔ 上に","に加えて attaches to nouns; 上に attaches to clauses (忙しい上に), so they are not interchangeable in form","大雨＿＿＿＿、風も強くなってきた。","に加えて","授業料＿＿＿＿、教材費も必要です。","A に加えて / B に対して / C に比べて / D において","A に加えて","A second cost added to the first.","C に比べて would compare the two fees, but 必要です states that both are required.","","","","N3 grammar addition"
"〜なんて（軽視・意外）","N + なんて; plain + なんて","such a thing as ~; the idea of ~ (dismissal or surprise)","… जस्तो कुरा (हेला वा अचम्म)","彼が嘘をつくなんて、信じられない。","かれが うそを つく なんて、しんじられない。","I can't believe he would lie.","उसले झुट बोल्छ भन्ने कुरा नै विश्वास लाग्दैन।","試験に落ちるなんて思わなかった。","しけんに おちる なんて おもわなかった。","I never thought I'd fail the exam.","परीक्षामा फेल हुन्छु भन्ने सोचेकै थिइनँ।","スポーツなんて、まったく興味がない。","スポーツ なんて、まったく きょうみが ない。","Sports? I've no interest at all.","खेलकुद जस्तो कुरामा मलाई कुनै रुचि छैन।","[X]なんて、[disbelief / dismissal]","Marks X as beneath consideration or as a surprise; the main clause is usually negative or expresses disbelief. Colloquial.","this is the colloquial form; written なんか is even more casual, など is formal","なんて ↔ など","なんて / など here are not the 'etc.' list marker; the tone is dismissal or surprise, and the predicate is negative or disbelieving","彼が嘘をつく＿＿＿、信じられない。","なんて","試験に落ちる＿＿＿思わなかった。","A なんて / B ばかり / C どころか / D ながら","A なんて","Marks an unexpected possibility the speaker never entertained.","C どころか would deny failing and state something more extreme, but 思わなかった expresses surprise at the idea itself.","","","","N3 grammar attitude"
"〜とか〜とか","N + とか + N + とか; V-dict + とか + V-dict + とか","things like ~ and ~ (informal, partial list)","… जस्तो, … जस्तो (अनौपचारिक सूची)","休みの日は、掃除とか洗濯とかをしている。","やすみの ひは、そうじとか せんたくとかを して いる。","On days off I do things like cleaning and laundry.","बिदाको दिन सरसफाइ, लुगा धुने जस्ता काम गर्छु।","ラーメン屋では、ラーメンとかチャーハンとかを食べる。","ラーメンやでは、ラーメンとか チャーハンとかを たべる。","At a ramen shop I eat things like ramen and fried rice.","रामेन पसलमा रामेन, चाउचाउ भात जस्ता खान्छु।","週末は本を読むとか映画を見るとかして過ごす。","しゅうまつは ほんを よむとか えいがを みるとか して すごす。","I spend weekends doing things like reading and watching films.","सप्ताहन्त किताब पढ्ने, फिल्म हेर्ने गरेर बिताउँछु।","[A]とか[B]とか","Informal list of examples, implying there are others; conversational.","this is the colloquial form; formal writing uses や / など","とか〜とか ↔ や〜など","とか is spoken register; do not use it in formal writing where や / など belong","休みの日は、掃除＿＿洗濯＿＿をしている。","とか / とか","週末は本を読む＿＿映画を見る＿＿して過ごす。","A とか / B や / C にも / D ながら","A とか","とか can list verbs; や cannot.","B や joins nouns only, so 読むや見るや is ungrammatical.","","","","N3 grammar enumeration"
