"kanji","meaning_en","meaning_ne","jlpt","onyomi","kunyomi","words","example","example_en","example_ne","component","confusable","disc_front","disc_options","disc_answer","disc_note","tags"
"育","raise, bring up; grow","हुर्काउनु","N3","イク","そだ・つ / そだ・てる","育[そだ]てる — to raise, bring up — हुर्काउनु<br>育[そだ]つ — to grow up — हुर्कनु<br>教育[きょういく] — education — शिक्षा<br>体育[たいいく] — physical education — शारीरिक शिक्षा<br>子育[こそだ]て — child-rearing — बालबच्चा हुर्काउने","子供[こども]を 育[そだ]てるのは 大変[たいへん]だ。","Raising children is hard work.","बालबच्चा हुर्काउनु गाह्रो छ।","𠫓 + 月 (a newborn baby gaining flesh as it is raised)","流 (なが・れる) has a similar top; 徹 (てつ) contains 育","","","","","N3 kanji batch5 vocab_linked kanji_day33 verb"
"科","department; subject; science","विषय; विभाग","N3","カ","—","科学[かがく] — science — विज्ञान<br>教科書[きょうかしょ] — textbook — पाठ्यपुस्तक<br>外科[げか] — surgery (department) — शल्यक्रिया विभाग<br>学科[がっか] — academic subject, department — विषय","内科[ないか]と 外科[げか]、 どちらに 行[い]けばいいですか。","Should I go to internal medicine or surgery?","आन्तरिक विभाग कि शल्यक्रिया, कुनमा जाने?","禾 + 斗 (measuring grain with a ladle into separate subject branches)","料 (りょう) = 米 + 斗 — nearly identical right side","Which kanji is in 科学 (science)? ＿学","科 / 秒 / 料","科","科 has 禾 (grain) on the left. 料 has 米 (rice) on the left (料理, 材料). 秒 = 禾 + 少 (seconds).","N3 kanji batch5 vocab_linked kanji_day33 noun confusable"
"研","polish; study, research","अनुसन्धान","N3","ケン","と・ぐ","研究[けんきゅう] — research — अनुसन्धान<br>研修[けんしゅう] — training — तालिम<br>研究室[けんきゅうしつ] — laboratory, seminar room — अनुसन्धान कक्ष","大学[だいがく]で 日本語[にほんご]の 研究[けんきゅう]を している。","I'm doing research on Japanese at university.","विश्वविद्यालयमा जापानी भाषाको अनुसन्धान गर्दैछु।","石 + 开 (grinding stones flat to polish and study them)","形 (かたち) = 开 + 彡 — same right component","","","","","N3 kanji batch5 vocab_linked kanji_day33 noun"
"究","investigate thoroughly","खोज","N3","キュウ","きわ・める","研究[けんきゅう] — research — अनुसन्धान<br>究極[きゅうきょく] — ultimate — परम<br>追究[ついきゅう] — investigation, pursuit — खोजी","この 問題[もんだい]は まだ 研究[けんきゅう]が 足[た]りない。","There isn't enough research on this problem yet.","यो समस्यामा अझै अनुसन्धान पुगेको छैन।","穴 + 九 (reaching nine twists deep into a cave to investigate thoroughly)","空 (そら) = 穴 + 工; 突 (つ・く) = 穴 + 犬","Which kanji is in 研究 (research)? 研＿","突 / 究 / 空","究","究 = 穴 + 九. 空 = 穴 + 工 (sky, empty). 突 = 穴 + 犬 (突然).","N3 kanji batch5 vocab_linked kanji_day33 noun confusable"
"師","teacher, master","गुरु","N3","シ","—","医師[いし] — physician — चिकित्सक<br>教師[きょうし] — teacher (profession) — शिक्षक<br>美容師[びようし] — hairdresser — कपाल काट्ने<br>講師[こうし] — lecturer, instructor — प्रशिक्षक","母[はは]は 高校[こうこう]の 教師[きょうし]です。","My mother is a high school teacher.","आमा उच्च माविको शिक्षक हुनुहुन्छ।","𠂤 + 帀 (a master wearing a sash leading a multitude on a hill)","帰 (かえ・る) has a similar left part","","","","","N3 kanji batch5 vocab_linked kanji_day33 noun"
"機","machine; opportunity","मेसिन; अवसर","N3","キ","はた","機械[きかい] — machine — मेसिन<br>機会[きかい] — opportunity — अवसर<br>飛行機[ひこうき] — airplane — विमान<br>洗濯機[せんたくき] — washing machine — कपडा धुने मेसिन<br>危機[きき] — crisis — संकट","また いい 機会[きかい]が あれば 会[あ]いましょう。","Let's meet again if there's a good opportunity.","फेरि राम्रो मौका मिले भेटौँला।","木 + 幾 (wooden loom parts operating intricately → complex machine, opportune moment)","機会 (opportunity) vs 機械 (machine) — identical きかい reading, different second kanji","Which kanji is in 機会 (opportunity) and 機械 (machine)? ＿会 / ＿械","械 / 幾 / 機","機","機 = 木 + 幾, used in both words. 械 is the second kanji of 機械 only. 幾 (いく) alone means 'how many'.","N3 kanji batch5 vocab_linked kanji_day34 noun confusable"
"械","machine, contraption","यन्त्र","N3","カイ","—","機械[きかい] — machine — मेसिन<br>器械[きかい] — instrument, apparatus — उपकरण<br>機械化[きかいか] — mechanization — यन्त्रीकरण","工場[こうじょう]の 機械[きかい]が 故障[こしょう]した。","The factory machine broke down.","कारखानाको मेसिन बिग्रियो।","木 + 戒 (wooden tools bound and guarded for safety → contraption, machine)","戒 (かい, warn) is the right half","","","","","N3 kanji batch5 vocab_linked kanji_day34 noun"
"器","vessel; instrument; ability","भाँडो; उपकरण","N3","キ","うつわ","食器[しょっき] — tableware — भाँडाकुँडा<br>楽器[がっき] — musical instrument — बाजा<br>器用[きよう] — skillful with hands — सिपालु<br>容器[ようき] — container — भाँडो","何[なに]か 楽器[がっき]が 弾[ひ]けますか。","Can you play any instrument?","कुनै बाजा बजाउन सक्नुहुन्छ?","口 × 4 + 大 (four dishes arranged around a large feast → vessels, capacity)","品 (しな) = 口 × 3; 哭 is the inner shape","","","","","N3 kanji batch5 vocab_linked kanji_day34 noun"
"術","technique, art","कला, प्रविधि","N3","ジュツ","—","技術[ぎじゅつ] — technology, skill — प्रविधि, सीप<br>手術[しゅじゅつ] — surgery — शल्यक्रिया<br>芸術[げいじゅつ] — art — कला<br>美術[びじゅつ] — fine art — ललितकला","来週[らいしゅう] 父[ちち]が 手術[しゅじゅつ]を 受[う]ける。","My father is having surgery next week.","अर्को हप्ता बुबाको शल्यक्रिया हुँदैछ।","行 + 朮 (walking through crossroads armed with specialized knowledge → art, technique)","街 (まち) = 行 + 圭 — same outer frame","","","","","N3 kanji batch5 vocab_linked kanji_day34 noun"
"技","skill, technique","सीप","N3","ギ","わざ","技術[ぎじゅつ] — technology, skill — प्रविधि<br>技[わざ] — technique, move — सीप, दाउ<br>演技[えんぎ] — acting, performance — अभिनय<br>競技[きょうぎ] — competition (sport) — प्रतियोगिता","彼[かれ]は 高[たか]い 技術[ぎじゅつ]を 持[も]っている。","He has high-level skills.","उससँग उच्च सीप छ।","扌 + 支 (a hand holding and balancing a branch with dexterity → skill, technique)","支 (ささ・える) is the right half; 枝 (えだ) = 木 + 支","Which kanji is in 技術 (technology)? ＿術","支 / 枝 / 技","技","技 has 扌 (hand skill). 枝 has 木 (a branch). 支 alone = support (支払う).","N3 kanji batch5 vocab_linked kanji_day34 noun confusable"
"夫","husband","श्रीमान्","N3","フ","おっと","夫[おっと] — husband (one's own) — श्रीमान्<br>夫婦[ふうふ] — married couple — दम्पती<br>工夫[くふう] — ingenuity, devising — जुक्ति<br>大丈夫[だいじょうぶ] — all right — ठीक छ","夫[おっと]は 毎日[まいにち] 遅[おそ]くまで 働[はたら]いている。","My husband works late every day.","श्रीमान् हरेक दिन ढिलोसम्म काम गर्नुहुन्छ।","大 + 一 (a grown person pinned with an adult hairpin → mature man, husband)","失 (うしな・う) and 矢 (や) look similar; 天 (てん) has the bar on top","Which kanji means 'husband'? ＿婦","天 / 失 / 夫","夫","夫 has the extra bar crossing the top of 大. 天 has the bar above, not through. 失 has a stroke poking out at the upper left.","N3 kanji batch5 vocab_linked kanji_day35 noun confusable"
"婦","woman; wife","महिला; श्रीमती","N3","フ","—","夫婦[ふうふ] — married couple — दम्पती<br>主婦[しゅふ] — housewife — गृहिणी<br>看護婦[かんごふ] — nurse (older term) — नर्स<br>婦人[ふじん] — woman, lady — महिला","あの 夫婦[ふうふ]は いつも 一緒[いっしょ]に 買[か]い 物[もの]している。","That couple always shops together.","ती दम्पती सधैँ सँगै किनमेल गर्छन्।","女 + 帚 (a woman holding a broom to manage the household → wife, woman)","掃 (は・く, sweep) = 扌 + 帚 — same right side","","","","","N3 kanji batch5 vocab_linked kanji_day35 noun"
"娘","daughter; young woman","छोरी","N3","—","むすめ","娘[むすめ] — daughter; young woman — छोरी<br>一人娘[ひとりむすめ] — only daughter — एक्ली छोरी<br>娘[むすめ]さん — someone's daughter (polite) — छोरी (आदरार्थी)","娘[むすめ]は 来年[らいねん] 大学[だいがく]に 入[はい]ります。","My daughter starts university next year.","छोरी अर्को वर्ष विश्वविद्यालय जान्छिन्।","女 + 良 (a good and pure young woman in the family → daughter)","良 (よ・い) is the right half; 息子[むすこ] is the male counterpart","","","","","N3 kanji batch5 vocab_linked kanji_day35 noun"
"息","breath; son","सास; छोरा","N3","ソク","いき","息[いき] — breath — सास<br>息子[むすこ] — son — छोरा<br>休息[きゅうそく] — rest — विश्राम<br>ため 息[いき] — sigh — सुस्केरा","息子[むすこ]は 今年[ことし] 高校生[こうこうせい]に なった。","My son became a high school student this year.","छोरा यो वर्ष उच्च माविमा भर्ना भयो।","自 + 心 (the nose drawing air directly to the heart → breath, one's own living son)","自 (じ, self) is the top; 憩 (いこ・い) contains 息","","","","","N3 kanji batch5 vocab_linked kanji_day35 noun"
