"grammar","formation","meaning_en","meaning_ne","ex1","ex1_reading","ex1_en","ex1_ne","ex2","ex2_reading","ex2_en","ex2_ne","ex3","ex3_reading","ex3_en","ex3_ne","frame","nuance","spoken","contrast","trap","cloze_front","cloze_answer","disc_front","disc_options","disc_answer","disc_why","disc_wrong","contrast_front","contrast_answer","contrast_note","tags"
"〜ようになる","V-dict / V-ない / V-potential + ようになる","come to do ~; reach a state (change over time)","गर्न थाल्नु / गर्न सक्ने हुनु (समयसँगै परिवर्तन)","日本語で電話ができるようになった。","にほんごで でんわが できるように なった。","I became able to make phone calls in Japanese.","म जापानीमा फोन गर्न सक्ने भएँ।","毎朝早く起きるようになりました。","まいあさ はやく おきるように なりました。","I've started getting up early every morning.","म हरेक बिहान चाँडै उठ्ने भएको छु।","息子は野菜を食べるようになった。","むすこは やさいを たべるように なった。","My son has started eating vegetables.","छोरा तरकारी खान थालेको छ।","[person]は [V-potential]ようになる","Describes a result that came about, not an effort. ようになってきた = gradual change.","ようになってきた (very common)","ようになる ↔ ようにする","ようになる = the change happened (result); ようにする = deliberate effort","日本語で電話ができる＿＿＿＿＿。","ようになった","子供のころは野菜が嫌いだったが、今は食べられる＿＿＿＿。","A ようにする / B ようになった / C ことにした / D たびに","B ようになった","Past state → present ability = a completed change.","A ようにする expresses an effort or intention; the sentence reports a change that already happened (今は…られる).","You're telling your doctor you now deliberately walk every day. 毎日歩く＿＿＿＿＿。","ようにしている","ようになる = it changed; ようにする = I make it happen. 毎日歩くようになった (I've come to walk daily) / 毎日歩くようにしている (I make a point of it).","N3 grammar change confusable"
"〜ことにする","V-dict / V-ない + ことにする; 〜ことにしている = habit or personal rule","decide to ~ (speaker's own decision)","गर्ने निर्णय गर्नु (आफ्नै निर्णय)","来年、N2を受けることにしました。","らいねん、エヌにを うけることに しました。","I decided to take N2 next year.","मैले अर्को साल N2 दिने निर्णय गरें।","今日は飲みに行かないことにする。","きょうは のみに いかないことに する。","I've decided not to go drinking today.","आज पिउन नजाने निर्णय गरें।","毎日30分、単語を覚えることにしている。","まいにち さんじゅっぷん、たんごを おぼえることに している。","I make it a rule to study vocab 30 minutes a day.","हरेक दिन ३० मिनेट शब्द पढ्ने नियम बनाएको छु।","[V-dict]ことにした ・ [V-ない]ことにする","Speaker's own choice. ことにしている = a rule you keep.","〜ことにしよう (let's just…); 〜ことにした","ことにする ↔ ことになる","ことにする = speaker decides; ことになる = decided by others or circumstances","来年、N2を受ける＿＿＿＿＿＿。","ことにしました","ダイエットのために、夜ご飯の後は何も食べない＿＿＿＿。","A ことにした / B ことになった / C ようになった / D わけではない","A ことにした","ダイエットのために signals a deliberate decision.","C ようになった would mean the habit changed on its own; a purpose clause implies choice.","HR informs you of a transfer. 会社の都合で、来月から大阪に転勤する＿＿＿＿。","ことになった","ことにする = I decide; ことになる = it was decided for me / it turned out that way. 大阪に行くことにした (my choice) / 大阪に行くことになった (the company's).","N3 grammar decision confusable"
"〜ば〜ほど","V-ば + V-dict + ほど / い-adj-ければ + い-adj + ほど / な-adj-なら + な-adj-な + ほど","the more ~, the more ~","जति … त्यति","練習すればするほど上手になる。","れんしゅうすれば するほど じょうずに なる。","The more you practice, the better you get.","जति अभ्यास गर्‍यो, त्यति सिपालु भइन्छ।","漢字は書けば書くほど覚えられる。","かんじは かけば かくほど おぼえられる。","The more you write kanji, the more you remember.","कान्जी जति लेख्यो, त्यति सम्झिन्छ।","部屋は広ければ広いほどいい。","へやは ひろければ ひろいほど いい。","The bigger the room, the better.","कोठा जति ठूलो, त्यति राम्रो।","[same verb twice]: すれば するほど","Proportional increase; both halves use the same word.","","","first verb in ば form, second repeats the same verb in dict form; い-adj = ければ + い, な-adj = なら + な","練習すれば＿＿＿＿上手になる。","するほど","部屋は＿＿＿＿＿＿いい。","A 広ければ広いほど / B 広いたびに / C 広いばかり / D 広いっぽく","A 広ければ広いほど","Proportional: the more X, the more Y.","B たびに counts repeated events; a room's size is not an event.","","","","N3 grammar degree"
"〜わけではない","plain form + わけではない (な-adj + な, N + の / という)","it's not that ~; doesn't mean ~ (partial denial)","… भन्ने होइन (आंशिक अस्वीकार)","高いものが必ずいいというわけではない。","たかいものが かならず いいという わけでは ない。","Expensive doesn't necessarily mean good.","महँगो नै राम्रो हुन्छ भन्ने होइन।","日本料理が嫌いなわけではないが、毎日は食べたくない。","にほんりょうりが きらいなわけでは ないが、まいにちは たべたくない。","Not that I dislike Japanese food, but not every day.","जापानी खाना मन नपर्ने होइन, तर हरेक दिन खान मन लाग्दैन।","全部わかったわけじゃない。","ぜんぶ わかったわけじゃ ない。","It's not like I understood everything.","सबै बुझें भन्ने होइन।","[plain]わけではない ・ [X]というわけではない","Partial denial: qualifies a general assumption; something is still partly true. ≒ 'not necessarily'.","わけじゃない ・ ってわけじゃない","わけではない ↔ わけがない","わけではない = partial denial (not necessarily); わけがない = flat denial (no way)","高いものが必ずいい＿＿＿＿＿＿＿。","というわけではない","日本語が話せても、漢字が全部読める＿＿＿＿。","A ことになる / B わけではない / C たびに / D ようになる","B わけではない","ても sets up a concession → partial denial.","D ようになる states a positive change (becomes able), which contradicts the concessive ても.","A teammate says the champion might lose to a beginner; you dismiss it. あんなに強い人が初心者に負ける＿＿＿＿。","わけがない","わけではない softens/qualifies; わけがない rejects outright. 忙しくないわけではない (I'm not exactly free) / 忙しくないわけがない (no way I'm not busy).","N3 grammar denial confusable"
"〜として","N + として; としては / としても","as ~; in the role/capacity of ~","…को रूपमा","私はエンジニアとして日本で働いている。","わたしは エンジニアとして にほんで はたらいている。","I work in Japan as an engineer.","म इन्जिनियरको रूपमा जापानमा काम गर्छु।","この本は教科書として使われている。","このほんは きょうかしょとして つかわれている。","This book is used as a textbook.","यो किताब पाठ्यपुस्तकको रूपमा प्रयोग हुन्छ।","趣味として写真を撮っている。","しゅみとして しゃしんを とっている。","I take photos as a hobby.","सोखको रूपमा फोटो खिच्छु।","[role/noun]として [action]","Marks the capacity in which someone or something acts. としては = from the standpoint of; としても = even as.","no special spoken form","として ↔ にとって","として = role/capacity; にとって = for / from the viewpoint of; によって = agent/means","私はエンジニア＿＿＿日本で働いている。","として","この本は教科書＿＿＿使われている。","A として / B について / C によって / D にとって","A として","教科書 is the role the book plays.","C によって marks the agent/means of a passive (by), but a textbook is not doing the using.","","","","N3 grammar role"
"〜たびに","V-dict + たびに / N + のたびに","every time ~; whenever ~","हरेक पटक …","この歌を聞くたびに、故郷を思い出す。","このうたを きくたびに、ふるさとを おもいだす。","Every time I hear this song I remember home.","यो गीत सुन्दा हरेक पटक गाउँको याद आउँछ।","旅行のたびに新しい友達ができる。","りょこうの たびに あたらしい ともだちが できる。","Every trip I make new friends.","हरेक यात्रामा नयाँ साथी बन्छन्।","会うたびに彼は背が高くなっている。","あうたびに かれは せが たかく なっている。","He's taller every time I see him.","भेट्दा हरेक पटक ऊ अग्लो भएको हुन्छ।","[V-dict]たびに [result, often a change]","Every occurrence of A is accompanied by B, often a gradual change — B does not have to be literally identical each time.","たんびに (casual/dialect)","たびに ↔ うちに","たびに = each occurrence; うちに = during a state, before it changes","この歌を聞く＿＿＿、故郷を思い出す。","たびに","会う＿＿＿彼は背が高くなっている。","A たびに / B うちに / C ばかりに / D として","A たびに","Repeated meetings, each showing change.","B うちに would mean 'while meeting him' — one period, not repeated occasions.","Serving food that will go cold. 熱い＿＿＿食べてください。","うちに","たびに counts repeated events; うちに = within a window before a state ends. 会うたびに背が伸びている / 若いうちに旅行したい.","N3 grammar time repetition confusable"
"〜たばかり","V-た + ばかり(だ); V-たばかりの + N","just did ~ (feels recent to the speaker)","भर्खरै … गरेको (वक्ताको अनुभूतिमा हालसालै)","買ったばかりのスマホを落としてしまった。","かったばかりの スマホを おとして しまった。","I dropped the phone I'd just bought.","भर्खरै किनेको फोन खसाइहालें।","今、駅に着いたばかりです。","いま、えきに ついたばかり です。","I just got to the station.","म भर्खरै स्टेसन आइपुगेको हुँ।","日本に来たばかりのころは、何もわからなかった。","にほんに きたばかりの ころは、なにも わからなかった。","When I'd just arrived in Japan I understood nothing.","जापान भर्खरै आएको बेला केही थाहा थिएन।","[V-た]ばかりです ・ [V-た]ばかりの[noun]","Subjective recency — can be days or weeks. Only たばかりの can modify a noun.","たばっかり / たばっか","たばかり ↔ たところ","たところ = this very moment (objective); たばかり = feels recent (can be weeks); noun-modifying = たばかりの only","買っ＿＿＿＿スマホを落としてしまった。","たばかりの","日本に来＿＿＿＿ころは、何もわからなかった。","A たばかりの / B たところの / C ているの / D るはずの","A たばかりの","'The period right after I came' — a stretch of time.","B たところ is a single instant and cannot describe a period like ころ.","Explaining a month after moving that you still don't know the area. 先月引っ越し＿＿＿＿。","たばかりだ","たところ = right this second; たばかり = recent by the speaker's feeling. 今、家に帰ったところだ / 先月引っ越したばかりだ.","N3 grammar time confusable"
"〜せいで","plain + せいで (な-adj + な, N + の); せいか = maybe because; 〜のせいにする = blame on","because of ~ (bad outcome, blame)","…को कारणले (नराम्रो नतिजा, दोष)","寝坊したせいで、電車に遅れた。","ねぼうした せいで、でんしゃに おくれた。","I missed the train because I overslept.","ढिलो उठेकोले ट्रेन छुट्यो।","雨のせいで試合が中止になった。","あめの せいで しあいが ちゅうしに なった。","The match was cancelled because of rain.","पानीको कारणले खेल रद्द भयो।","失敗を人のせいにするな。","しっぱいを ひとの せいに するな。","Don't blame your failure on others.","आफ्नो गल्तीको दोष अरूलाई नदेऊ।","[cause]のせいで [bad result]","Negative result; the cause is blamed.","sentence-final: お前のせいだ","せいで ↔ おかげで","せいで = bad outcome/blame; おかげで = good outcome/thanks; せいか = maybe because","寝坊した＿＿＿、電車に遅れた。","せいで","隣の人がうるさかった＿＿＿、全然眠れなかった。","A おかげで / B せいで / C ように / D たびに","B せいで","Bad result (couldn't sleep) → blame.","A おかげで needs a positive result; here it would only work as sarcasm.","Thanking a teacher after passing. 先生＿＿＿＿、試験に合格できた。","のおかげで","Same 'because of', opposite emotional polarity. 先生のせいで落ちた / 先生のおかげで受かった.","N3 grammar cause confusable"
"〜ように（目的）","V-potential / non-volitional V-dict / V-ない + ように","so that ~; in order that ~","…होस् भनेर","忘れないように、メモしておきます。","わすれないように、メモして おきます。","I'll jot it down so I don't forget.","नबिर्सियोस् भनेर नोट गरेर राख्छु।","後ろの人にも聞こえるように、大きい声で話した。","うしろの ひとにも きこえるように、おおきい こえで はなした。","I spoke loudly so people at the back could hear.","पछाडिकाले पनि सुनून् भनेर ठूलो स्वरमा बोलें।","風邪をひかないように気をつけてください。","かぜを ひかないように きを つけて ください。","Take care not to catch a cold.","रुघा नलागोस् भनेर ख्याल गर्नुहोस्।","[V-potential / V-ない]ように、[action]","The goal is a state (being able / not happening), not an action you control directly.","written style drops に: 忘れないよう","ように ↔ ために","ために = volitional verb, same subject (勉強するために); ように = potential / negative / non-volitional / other subject","忘れない＿＿＿、メモしておきます。","ように","後ろの人にも聞こえる＿＿＿、大きい声で話した。","A ために / B ように / C せいで / D たびに","B ように","聞こえる is non-volitional and the subject differs.","A ために requires a volitional verb with the same subject; 聞こえる is neither.","Stating why you study Japanese. 日本で働く＿＿＿、日本語を勉強している。","ために","Can you choose to do the verb yourself? → ために; otherwise → ように. 働くために勉強する / 働けるように勉強する.","N3 grammar purpose confusable"
"〜っぽい","N / V-stem / い-adj stem + っぽい (conjugates as い-adj)","-ish; seems like; tends to ~","…जस्तो; …को बानी भएको","彼は最近、忘れっぽくなった。","かれは さいきん、わすれっぽく なった。","He's become forgetful lately.","ऊ आजकल बिर्सने बानी भएको छ।","その服、ちょっと子供っぽいね。","そのふく、ちょっと こどもっぽい ね。","Those clothes look a bit childish.","त्यो लुगा अलि केटाकेटी जस्तो छ है।","この水、なんか油っぽい。","このみず、なんか あぶらっぽい。","This water tastes kind of oily.","यो पानी अलि तेल जस्तो छ।","[X]っぽい ・ [X]っぽくなる","Tendency or resemblance, often slightly negative ('too much like'). Colloquial; writing prefers らしい / のような. Set: 安っぽい、怒りっぽい、飽きっぽい、男っぽい.","very colloquial by nature","っぽい ↔ らしい","っぽい attaches to noun / verb stem / adj stem and is usually mildly negative ('too much like X'); らしい (典型) says something has the qualities properly expected of X — often flattering but not a strict positive counterpart, and the two are not simple register swaps of each other","彼は最近、忘れ＿＿＿なった。","っぽく","彼は飽き＿＿＿から、何を始めても続かない。","A っぽい / B らしい / C ようだ / D みたい","A っぽい","Verb stem + っぽい = tends to.","B らしい cannot attach to a verb stem and means 'typical of', not 'prone to'.","","","","N3 grammar suffix"
