#separator:tab
#html:false
#tags column:17
#columns:word	rank	word_furigana	reading	type	pos	english	nepali	sentence1	sentence1_en	sentence2	sentence2_en	sentence3	sentence3_en	frame	note	tags
気づく	101	気[き]づく	きづく	verb	v5 intransitive	to notice; to realize	याद आउनु; थाहा पाउनु	間違[まちが]いに 気[き]づいたら、すぐ 直[なお]してください。	If you notice a mistake, please fix it right away.	彼女[かのじょ]が 髪[かみ]を 切[き]ったことに 気[き]づかなかった。	I did not notice that she had cut her hair.	家[いえ]を 出[で]てから、 財布[さいふ]がないことに 気[き]づいた。	After leaving the house, I realized I did not have my wallet.	Aに気づく／〜ことに気づく	Takes に. Also written 気付く. 気がつく = same meaning.	N3 batch2 day5 verb
驚く	102	驚[おどろ]く	おどろく	verb	v5 intransitive	to be surprised	छक्क पर्नु; अचम्म मान्नु	突然[とつぜん]の 知[し]らせに 驚[おどろ]いた。	I was surprised by the sudden news.	物価[ぶっか]の 高[たか]さに 驚[おどろ]きました。	I was surprised at how high prices are.	驚[おどろ]いたことに、 二人[ふたり]は 同[おな]じ 誕生日[たんじょうび]だった。	Surprisingly, the two had the same birthday.	Aに驚く／驚いたことに	驚いたことに = to my surprise (written). Spoken: びっくりする.	N3 batch2 day5 verb
変化	103	変化[へんか]	へんか	verb	noun / suru-verb	change	परिवर्तन	気温[きおん]の 変化[へんか]が 激[はげ]しい。	The temperature changes are extreme.	町[まち]の 様子[ようす]は 大[おお]きく 変化[へんか]した。	The look of the town has changed greatly.	生活[せいかつ]の 変化[へんか]に 体[からだ]がついていかない。	My body cannot keep up with the changes in my life.	Aが変化する／〜の変化／変化が激しい	Formal version of 変わる. 変化する is intransitive.	N3 batch2 day5 verb
比べる	104	比[くら]べる	くらべる	verb	v1 transitive	to compare	तुलना गर्नु	値段[ねだん]を 比[くら]べてから 買[か]います。	I compare prices before buying.	去年[きょねん]と 比[くら]べて、 今年[ことし]は 雨[あめ]が 多[おお]い。	Compared to last year, this year has a lot of rain.	人[ひと]と 比[くら]べても 意味[いみ]がない。	There is no point comparing yourself with others.	AとBを比べる／Aと比べて（N3 grammar）	〜に比べて also correct. Formal noun: 比較.	N3 batch2 day5 verb
比較	105	比較[ひかく]	ひかく	verb	noun / suru-verb	comparison	तुलना	二[ふた]つの 商品[しょうひん]を 比較[ひかく]した。	I compared the two products.	他[ほか]の 国[くに]と 比較[ひかく]すると、 日本[にほん]は 安全[あんぜん]だ。	Compared with other countries, Japan is safe.	比較的[ひかくてき] 簡単[かんたん]な 問題[もんだい]だった。	It was a relatively easy problem.	AとBを比較する／Aと比較して／比較的＋adj	比較的 = relatively (adverb) — exam favourite. Spoken: 比べる.	N3 batch2 day5 verb
諦める	106	諦[あきら]める	あきらめる	verb	v1 transitive	to give up	हार मान्नु; त्याग्नु	最後[さいご]まで 諦[あきら]めないでください。	Please do not give up until the end.	雨[あめ]なので、 花見[はなみ]は 諦[あきら]めた。	It is raining, so we gave up on the cherry-blossom viewing.	夢[ゆめ]を 諦[あきら]めるのはまだ 早[はや]い。	It is still too early to give up on your dream.	Aを諦める	Kanji 諦 is N1-level; often written あきらめる in kana.	N3 batch2 day5 verb
確か	107	確[たし]か	たしか	adv	adverb / na-adjective	certain; (adv) if I remember correctly	पक्का; (सम्झेअनुसार) सायद	確[たし]か、 会議[かいぎ]は 三時[さんじ]からだったと 思[おも]う。	If I remember right, the meeting was from three.	それは 確[たし]かな 情報[じょうほう]ですか。	Is that reliable information?	彼[かれ]が 来[く]るかどうか、 確[たし]かではない。	It is not certain whether he will come.	確か＋recollection／確かな＋N／確かに（indeed）	確か = I think, if I recall; 確かに = certainly/indeed. Different! Verb: 確かめる.	N3 batch2 day5 adv
当然	108	当然[とうぜん]	とうぜん	adv	adverb / na-adjective	natural; of course	स्वाभाविक; अवश्य	働[はたら]いたら、 給料[きゅうりょう]をもらうのは 当然[とうぜん]だ。	If you work, it is only natural to get paid.	彼[かれ]が 怒[おこ]るのも 当然[とうぜん]だ。	It is no wonder he is angry.	当然[とうぜん]、 準備[じゅんび]はしてありますよね。	Naturally, you have prepared, right?	〜のは当然だ／当然の＋N／当然、〜	当たり前 (spoken) = 当然 (formal). 当然の結果 = a natural result.	N3 batch2 day5 adv
偶然	109	偶然[ぐうぜん]	ぐうぜん	adv	adverb / noun	by chance; coincidence	संयोग; संयोगले	駅[えき]で 偶然[ぐうぜん]、 昔[むかし]の 友人[ゆうじん]に 会[あ]った。	I ran into an old friend at the station by chance.	それは 偶然[ぐうぜん]ではないと 思[おも]う。	I do not think that is a coincidence.	偶然[ぐうぜん]にも、 二人[ふたり]は 同[おな]じ 本[ほん]を 読[よ]んでいた。	By coincidence, the two were reading the same book.	偶然＋V／偶然の＋N／偶然にも	Opposite: 必然. わざと = on purpose. Spoken: たまたま.	N3 batch2 day5 adv
途中	110	途中[とちゅう]	とちゅう	noun	noun	on the way; midway	बाटोमा; बीचमा	学校[がっこう]へ 行[い]く 途中[とちゅう]で、 先生[せんせい]に 会[あ]った。	On the way to school, I met my teacher.	映画[えいが]を 途中[とちゅう]で 見[み]るのをやめた。	I stopped watching the film partway through.	話[はなし]の 途中[とちゅう]ですみませんが、 電話[でんわ]です。	Sorry to interrupt, but there is a phone call for you.	V-る途中で／〜の途中で	途中で = midway through. 中途半端 = half-done (related feel).	N3 batch2 day5 noun
以前	111	以前[いぜん]	いぜん	noun	noun / adverb	before; previously	पहिले; अघि	以前[いぜん]、この 近[ちか]くに 住[す]んでいました。	I used to live near here.	以前[いぜん]より 日本語[にほんご]が 上手[じょうず]になりましたね。	Your Japanese has gotten better than before.	五時[ごじ] 以前[いぜん]に 来[き]てください。	Please come before five o'clock.	以前（は）／N＋以前／以前より	Opposite: 以後／以降. Spoken: 前（に）.	N3 batch2 day5 noun
今後	112	今後[こんご]	こんご	noun	noun / adverb	from now on; in the future	अब उप्रान्त; आगामी	今後[こんご]の 予定[よてい]を 教[おし]えてください。	Please tell me the plans from here on.	今後[こんご]、このようなことがないように 気[き]をつけます。	I will be careful that this does not happen again.	今後[こんご]も、よろしくお 願[ねが]いします。	I look forward to working with you in the future as well.	今後の＋N／今後、〜／今後とも	Business staple: 今後とも = going forward (emails). これから is the spoken version.	N3 batch2 day5 noun
迷惑	113	迷惑[めいわく]	めいわく	noun	noun / na-adjective	trouble; nuisance	दुःख; झन्झट (अरूलाई)	人[ひと]に 迷惑[めいわく]をかけてはいけません。	You must not cause trouble to others.	夜中[よなか]の 電話[でんわ]は 迷惑[めいわく]だ。	Phone calls in the middle of the night are a nuisance.	ご 迷惑[めいわく]をおかけして、 申[もう]し 訳[わけ]ありません。	I am very sorry for the inconvenience.	Aに迷惑をかける／迷惑な＋N／ご迷惑をおかけします	Core Japan word. 迷惑をかける = cause someone trouble. 迷惑メール = spam.	N3 batch2 day5 noun
上司	114	上司[じょうし]	じょうし	noun	noun	boss; superior	हाकिम; माथिल्लो अधिकारी	上司[じょうし]に 報告[ほうこく]しなければならない。	I have to report to my boss.	新[あたら]しい 上司[じょうし]は 話[はな]しやすい 人[ひと]だ。	My new boss is easy to talk to.	上司[じょうし]の 指示[しじ]に 従[したが]って 作業[さぎょう]を 進[すす]めた。	I proceeded with the work following my boss's instructions.	上司に報告・相談する	Pair: 上司 ↔ 部下 (ぶか, subordinate). 同僚 = colleague.	N3 batch2 day5 noun
目標	115	目標[もくひょう]	もくひょう	noun	noun	goal; target	लक्ष्य	今年[ことし]の 目標[もくひょう]は 十二月[じゅうにがつ]の 試験[しけん]に 合格[ごうかく]することだ。	This year's goal is to pass the December exam.	目標[もくひょう]を 立[た]てて、 計画的[けいかくてき]に 勉強[べんきょう]しよう。	Set a goal and study systematically.	売[う]り 上[あ]げは 目標[もくひょう]を 超[こ]えた。	Sales exceeded the target.	目標を立てる・達成する／目標に向かって	目標 = measurable target; 目的 = purpose (why). 目標を達成する = achieve a goal.	N3 batch2 day5 noun
意識	116	意識[いしき]	いしき	noun	noun / suru-verb	consciousness; awareness	चेतना; होस	彼[かれ]は 事故[じこ]の 後[あと]、 意識[いしき]を 失[うしな]った。	He lost consciousness after the accident.	健康[けんこう]を 意識[いしき]して、 野菜[やさい]を 多[おお]く 食[た]べている。	Being health-conscious, I eat a lot of vegetables.	日本人[にほんじん]は 時間[じかん]に 対[たい]する 意識[いしき]が 高[たか]い。	Japanese people have a strong awareness of time.	意識を失う／Aを意識する／〜に対する意識	無意識に = unconsciously. Set with 知識, 常識.	N3 batch2 day5 noun
