#separator:tab
#html:false
#tags column:17
#columns:word	rank	word_furigana	reading	type	pos	english	nepali	sentence1	sentence1_en	sentence2	sentence2_en	sentence3	sentence3_en	frame	note	tags
様子	251	様子[ようす]	ようす	noun	noun	state; appearance; the way things look	अवस्था; हालखबर; झलक	外[そと]の 様子[ようす]を 見[み]てきます。	I will go check how things look outside.	彼[かれ]は 朝[あさ]から 様子[ようす]がおかしい。	He has been acting strange since morning.	しばらく 様子[ようす]を 見[み]ましょう。	Let us wait and see for a while.	〜の様子／様子を見る／様子がおかしい	様子を見る = wait and see (doctor phrase too). Extremely common in listening.	N3 batch3 day11 noun
出来事	252	出来事[できごと]	できごと	noun	noun	event; happening	घटना	今日[きょう]あった 出来事[できごと]を 日記[にっき]に 書[か]いた。	I wrote the day's events in my diary.	それは 十年前[じゅうねんまえ]の 出来事[できごと]だ。	That happened ten years ago.	世界[せかい]の 出来事[できごと]に 関心[かんしん]を 持[も]とう。	Let us take an interest in world events.	〜の出来事	Neutral happenings. 事件 = incident (crime/trouble nuance).	N3 batch3 day11 noun
事件	253	事件[じけん]	じけん	noun	noun	incident; case (crime)	घटना (अपराध); काण्ड	近所[きんじょ]で 事件[じけん]が 起[お]きた。	An incident occurred in the neighborhood.	警察[けいさつ]はその 事件[じけん]を 調[しら]べている。	The police are investigating the case.	事件[じけん]の 現場[げんば]には 入[はい]れません。	You cannot enter the scene of the incident.	事件が起きる／事件を調べる	事件 = crime/incident; 事故 = accident. News-Japanese pair.	N3 batch3 day11 noun
筆者	254	筆者[ひっしゃ]	ひっしゃ	noun	noun	the author; the writer (of this text)	लेखक (यस लेखको)	筆者[ひっしゃ]の 考[かんが]えに 合[あ]うものはどれか。	Which one matches the author's thinking?	筆者[ひっしゃ]は 若者[わかもの]の 読書[どくしょ]について 述[の]べている。	The author discusses young people's reading habits.	筆者[ひっしゃ]が 最[もっと]も 言[い]いたいことは 何[なん]ですか。	What does the author most want to say?	筆者の考え／筆者が述べていること	THE reading-section word — every N3 passage question uses it. 作者 = author of creative works.	N3 batch3 day11 noun
場面	255	場面[ばめん]	ばめん	noun	noun	scene; situation	दृश्य; परिस्थिति	映画[えいが]の 最後[さいご]の 場面[ばめん]で 泣[な]いてしまった。	I cried at the last scene of the movie.	敬語[けいご]は 場面[ばめん]によって 使[つか]い 分[わ]ける。	Polite language is used differently depending on the situation.	こういう 場面[ばめん]では 何[なん]と 言[い]えばいいですか。	What should I say in this kind of situation?	〜の場面／場面によって	Movie scenes and social situations. 場面によって = depending on the situation.	N3 batch3 day11 noun
作品	256	作品[さくひん]	さくひん	noun	noun	work (of art, writing)	कृति; रचना	美術館[びじゅつかん]で 有名[ゆうめい]な 作品[さくひん]を 見[み]た。	I saw famous works at the art museum.	この 作家[さっか]の 作品[さくひん]はどれも 面白[おもしろ]い。	All of this writer's works are interesting.	コンテストに 作品[さくひん]を 出[だ]した。	I submitted a piece to the contest.	〜の作品／作品を出す	Art, novels, films — all 作品. 作家 = writer/artist.	N3 batch3 day11 noun
習慣	257	習慣[しゅうかん]	しゅうかん	noun	noun	habit; custom	बानी; चलन	毎朝[まいあさ] 走[はし]るのが 習慣[しゅうかん]になった。	Running every morning has become a habit.	国[くに]によって 食事[しょくじ]の 習慣[しゅうかん]が 違[ちが]う。	Eating customs differ by country.	早寝[はやね] 早起[はやお]きの 習慣[しゅうかん]をつけたい。	I want to build a habit of early to bed, early to rise.	習慣になる／習慣をつける	Personal habit and cultural custom. Same sound as 週間 (week) — context decides!	N3 batch3 day11 noun
癖	258	癖[くせ]	くせ	noun	noun	(personal) habit; quirk	बानी (नराम्रो); आदत	彼[かれ]は 髪[かみ]を 触[さわ]る 癖[くせ]がある。	He has a habit of touching his hair.	爪[つめ]を 噛[か]む 癖[くせ]を 直[なお]したい。	I want to fix my nail-biting habit.	癖[くせ]のある 字[じ]で 読[よ]みにくい。	The handwriting is quirky and hard to read.	V-る癖がある／癖を直す	癖 = unconscious personal habit (often negative); 習慣 = built routine.	N3 batch3 day11 noun
健康	259	健康[けんこう]	けんこう	noun	noun / na-adjective	health	स्वास्थ्य	健康[けんこう]のために、 毎日[まいにち] 歩[ある]いています。	I walk every day for my health.	たばこは 健康[けんこう]に 悪[わる]い。	Cigarettes are bad for your health.	健康[けんこう] 診断[しんだん]を 年[ねん]に 一回[いっかい] 受[う]けている。	I get a health checkup once a year.	健康にいい・悪い／健康的な	健康診断 = the annual company checkup. 元気 = energetic (feeling); 健康 = health (state).	N3 batch3 day11 noun
命	260	命[いのち]	いのち	noun	noun	life	जीवन; प्राण	医者[いしゃ]は 多[おお]くの 命[いのち]を 救[すく]ってきた。	The doctor has saved many lives.	シートベルトが 命[いのち]を 守[まも]る。	Seatbelts protect lives.	命[いのち]より 大切[たいせつ]なものはない。	Nothing is more precious than life.	命を救う・守る／命に関わる	命に関わる = life-threatening. 人生 = life (lived); 生活 = daily life; 命 = life itself.	N3 batch3 day11 noun
