"kanji","meaning_en","meaning_ne","jlpt","onyomi","kunyomi","words","example","example_en","example_ne","component","confusable","disc_front","disc_options","disc_answer","disc_note","tags"
"述","state, mention","बताउनु","N3","ジュツ","の・べる","述[の]べる — to state, express (formally) — बताउनु<br>記述[きじゅつ] — description (in writing) — विवरण<br>上述[じょうじゅつ] — the above-mentioned — माथि उल्लेखित","自分[じぶん]の 意見[いけん]を はっきり 述[の]べてください。","Please state your opinion clearly.","आफ्नो विचार स्पष्ट रूपमा बताउनुहोस्।","辶 + 朮","術 (じゅつ) = 行 + 朮 — same inner component, same reading","","","","","N3 kanji batch6 vocab_linked kanji_day41 verb"
"説","explain; theory","व्याख्या; सिद्धान्त","N3","セツ","と・く","説明[せつめい] — explanation — व्याख्या<br>小説[しょうせつ] — novel — उपन्यास<br>説[と]く — to explain, preach — बुझाउनु<br>伝説[でんせつ] — legend — किंवदन्ती","もう 一度[いちど] ゆっくり 説明[せつめい]してください。","Please explain slowly one more time.","फेरि एकपटक बिस्तारै बुझाउनुहोस्।","言 + 兌","税 (ぜい) = 禾 + 兌; 脱 (ぬ・ぐ) = 月 + 兌","","","","","N3 kanji batch6 vocab_linked kanji_day41 noun verb"
"演","perform, act","प्रस्तुति","N3","エン","—","演奏[えんそう] — musical performance — संगीत प्रस्तुति<br>講演[こうえん] — lecture, talk — प्रवचन<br>演技[えんぎ] — acting — अभिनय<br>出演[しゅつえん] — appearing (in a show) — प्रस्तुतिमा भाग","今夜[こんや]の コンサートで 彼女[かのじょ]が ピアノを 演奏[えんそう]する。","She'll perform piano at tonight's concert.","आजको कन्सर्टमा उनले पियानो बजाउँछिन्।","氵 + 寅","","","","","","N3 kanji batch6 vocab_linked kanji_day41 noun"
"講","lecture","व्याख्यान","N3","コウ","—","講義[こうぎ] — lecture (university) — व्याख्यान<br>講師[こうし] — lecturer, instructor — प्रशिक्षक<br>講座[こうざ] — course — पाठ्यक्रम<br>受講[じゅこう] — taking a course — कक्षा लिनु","来週[らいしゅう]から 新[あたら]しい 講座[こうざ]が 始[はじ]まる。","A new course starts next week.","अर्को हप्तादेखि नयाँ कोर्स सुरु हुन्छ।","言 + 冓","構 (かま・う) = 木 + 冓; 購 (こう, 購入) = 貝 + 冓","Which kanji is in 講義 (lecture)? ＿義","講 / 購 / 構","講","講 has 言 (speaking). 構 has 木 (構造, 構う). 購 has 貝 (購入).","N3 kanji batch6 vocab_linked kanji_day41 noun confusable"
"誘","invite, tempt","निम्त्याउनु","N3","ユウ","さそ・う","誘[さそ]う — to invite, ask out — निम्त्याउनु<br>誘[さそ]い — invitation — निम्तो<br>勧誘[かんゆう] — solicitation, recruitment — आग्रह","友達[ともだち]を 映画[えいが]に 誘[さそ]った。","I invited a friend to a movie.","साथीलाई फिल्म हेर्न निम्त्याएँ।","言 + 秀","秀 (しゅう, excellent) is the right half; 透 (す・ける) = 辶 + 秀","Which kanji means 'to invite'? 映画に＿った","透 / 誘 / 秀","誘","誘 has 言 — inviting is done with words. 秀 alone = outstanding (優秀). 透 has 辶 (透明).","N3 kanji batch6 vocab_linked kanji_day41 verb confusable"
"想","think, imagine","सोच, कल्पना","N3","ソウ","—","予想[よそう] — prediction, expectation — पूर्वानुमान<br>感想[かんそう] — impressions, thoughts — प्रतिक्रिया<br>理想[りそう] — ideal — आदर्श<br>想像[そうぞう] — imagination — कल्पना","試合[しあい]の 結果[けっか]は 予想[よそう]と 違[ちが]った。","The match result differed from expectations.","खेलको नतिजा अनुमानभन्दा फरक भयो।","相 + 心","相 (そう, 相談) is the top; 箱 (はこ) = 竹 + 相","","","","","N3 kanji batch6 vocab_linked kanji_day42 noun"
"像","image, statue","प्रतिमा, छवि","N3","ゾウ","—","想像[そうぞう] — imagination — कल्पना<br>画像[がぞう] — image (picture file) — तस्बिर<br>映像[えいぞう] — video, footage — भिडियो<br>銅像[どうぞう] — bronze statue — कांस्य प्रतिमा","この 画像[がぞう]を メールで 送[おく]ってください。","Please send me this image by email.","यो तस्बिर इमेलबाट पठाउनुहोस्।","亻 + 象","象 (ぞう, elephant / phenomenon) — 像 is 象 with 亻","Which kanji is in 想像 (imagination)? 想＿","象 / 造 / 像","像","像 has 亻 on the left. 象 alone = elephant, or phenomenon (現象). 造 = to build (製造).","N3 kanji batch6 vocab_linked kanji_day42 noun confusable"
"印","seal, mark, sign","छाप, चिह्न","N3","イン","しるし","印象[いんしょう] — impression — प्रभाव<br>印[しるし] — mark, sign — चिह्न<br>印刷[いんさつ] — printing — छपाइ<br>矢印[やじるし] — arrow (symbol) — तीर चिह्न","初[はじ]めて 会[あ]った 時[とき]の 印象[いんしょう]は よかった。","The impression when we first met was good.","पहिलो भेटको प्रभाव राम्रो थियो।","𠂎 + 卩","卵 (たまご) has a similar right shape; 迎 (むか・える) contains 卬","","","","","N3 kanji batch6 vocab_linked kanji_day42 noun"
"疑","doubt, suspect","शंका","N3","ギ","うたが・う","疑[うたが]う — to doubt, suspect — शंका गर्नु<br>疑問[ぎもん] — question, doubt — प्रश्न, शंका<br>疑[うたが]い — suspicion — शंका<br>半信半疑[はんしんはんぎ] — half in doubt — अर्ध विश्वास","彼[かれ]の 話[はなし]を 疑[うたが]う 理由[りゆう]は ない。","There's no reason to doubt his story.","उसको कुरा शंका गर्ने कारण छैन।","匕 + 矢 + 龴 + 疋","凝 (こ・る) = 冫 + 疑","","","","","N3 kanji batch6 vocab_linked kanji_day42 verb"
"信","believe, trust; signal","विश्वास","N3","シン","しん・じる","信[しん]じる — to believe — विश्वास गर्नु<br>信号[しんごう] — traffic light, signal — ट्राफिक बत्ती<br>信用[しんよう] — trust, credit — भरोसा<br>自信[じしん] — self-confidence — आत्मविश्वास<br>返信[へんしん] — reply — जवाफ","日本語[にほんご]に もう 少[すこ]し 自信[じしん]を 持[も]ちたい。","I want a bit more confidence in my Japanese.","जापानी भाषामा अलि बढी आत्मविश्वास चाहन्छु।","亻 + 言 (a person's word)","自信 (self-confidence) vs 地震[じしん] (earthquake) — same reading じしん","Which kanji means 'believe / trust'? 自＿を持つ","侵 / 信 / 震","信","信 = 亻 + 言, a person's word — trust (自信, 信じる). 震 = tremble (地震). 侵 = invade (侵入).","N3 kanji batch6 vocab_linked kanji_day42 verb noun confusable"
