"kanji","meaning_en","meaning_ne","jlpt","onyomi","kunyomi","words","example","example_en","example_ne","component","confusable","disc_front","disc_options","disc_answer","disc_note","tags"
"怒","anger","रिस","N3","ド","おこ・る / いか・る","怒[おこ]る — to get angry — रिसाउनु<br>怒[おこ]られる — to get scolded — गाली खानु<br>怒[いか]り — anger — रिस","遅刻[ちこく]して 先生[せんせい]に 怒[おこ]られた。","I was late and got scolded by the teacher.","ढिलो भएर शिक्षकको गाली खाएँ।","奴 + 心 (a servant's heart boiling over with anger)","努 (つと・める, 努力) = 奴 + 力","Which kanji means 'anger'? 先生に＿られた","怒 / 奴 / 努","怒","怒 has 心 underneath — emotion. 努 has 力 underneath — effort (努力). 奴 alone is the shared top.","N3 kanji batch3 vocab_linked kanji_day17 verb confusable"
"泣","cry","रुनु","N3","キュウ","な・く","泣[な]く — to cry — रुनु<br>泣[な]き 声[ごえ] — crying voice — रुवाइको आवाज<br>泣[な]き 出[だ]す — to burst into tears — रुन थाल्नु","映画[えいが]の 最後[さいご]で 泣[な]いてしまった。","I ended up crying at the end of the movie.","फिल्मको अन्त्यमा रोइहालेँ।","氵 + 立 (standing motionless with water flowing as tears)","鳴[な]く (animal/bird cry) — same reading; 位 = 亻 + 立","Which kanji is a person crying? 映画で＿いた","位 / 泣 / 鳴","泣","泣 (氵) = a person crying tears. 鳴 (鳥 + 口) = an animal or bird crying. 位 = rank.","N3 kanji batch3 vocab_linked kanji_day17 verb confusable"
"笑","laugh, smile","हाँस्नु","N3","ショウ","わら・う / え・む","笑[わら]う — to laugh, smile — हाँस्नु<br>笑顔[えがお] — smiling face — मुस्कान<br>笑[わら]い — laughter — हाँसो<br>微笑[ほほえ]む — to smile — मुस्कुराउनु","彼女[かのじょ]は いつも 笑顔[えがお]で 挨拶[あいさつ]する。","She always greets with a smile.","उनी सधैँ मुस्कानसहित अभिवादन गर्छिन्।","竹 + 夭 (bamboo swaying and bending like a person bursting into laughter)","答 (こた・える) also has 竹 on top","","","","","N3 kanji batch3 vocab_linked kanji_day17 verb"
"悲","sad","दुःख","N3","ヒ","かな・しい / かな・しむ","悲[かな]しい — sad — दुःखी<br>悲[かな]しむ — to grieve — शोक गर्नु<br>悲[かな]しみ — sadness — दुःख<br>悲劇[ひげき] — tragedy — दुःखान्त","ペットが 死[し]んで とても 悲[かな]しい。","My pet died and I'm very sad.","पाल्तु जनावर मरेर धेरै दुःख लाग्यो।","非 + 心 (a heart torn in opposite directions by sadness)","非 (ひ, not) — 悲 is 非 with 心 underneath","Which kanji means 'sad'? とても＿しい","非 / 排 / 悲","悲","悲 has 心 underneath — feeling. 非 alone means 'not' (非常). 排 has 扌 (排水).","N3 kanji batch3 vocab_linked kanji_day17 adj confusable"
"困","troubled","अप्ठ्यारो","N3","コン","こま・る","困[こま]る — to be troubled, in a fix — अप्ठ्यारो पर्नु<br>困難[こんなん] — difficulty — कठिनाइ<br>貧困[ひんこん] — poverty — गरिबी","電車[でんしゃ]が 止[と]まって 困[こま]った。","The train stopped and I was in trouble.","रेल रोकिएर अप्ठ्यारो पर्‍यो।","囗 + 木 (a tree trapped inside a box, troubled with no room to grow)","因 (いん) = 囗 + 大; 囲 (かこ・む) = 囗 + 井","Which kanji means 'troubled'? 電車が止まって＿った","囲 / 因 / 困","困","困 has 木 inside the box. 因 has 大 inside (原因). 囲 has 井 inside (囲む).","N3 kanji batch3 vocab_linked kanji_day17 verb confusable"
"疲","tired","थकाइ","N3","ヒ","つか・れる","疲[つか]れる — to get tired — थाक्नु<br>疲[つか]れ — fatigue — थकाइ<br>疲労[ひろう] — fatigue (formal) — थकान","今日[きょう]は 残業[ざんぎょう]で 疲[つか]れた。","I'm tired from overtime today.","आज ओभरटाइमले थाकेँ।","疒 + 皮 (an ailment wearing down your skin until you are exhausted)","彼 (かれ) = 彳 + 皮; 波 (なみ) = 氵 + 皮; 皮 (かわ)","Which kanji means 'tired'? 残業で＿れた","彼 / 波 / 疲","疲","疲 has the sickness radical 疒. 彼 has 彳 (he). 波 has 氵 (wave).","N3 kanji batch3 vocab_linked kanji_day18 verb confusable"
"痛","pain","पीडा","N3","ツウ","いた・い / いた・む","痛[いた]い — painful — दुख्ने<br>痛[いた]み — pain — पीडा<br>頭痛[ずつう] — headache — टाउको दुखाइ<br>腹痛[ふくつう] — stomachache — पेट दुखाइ","朝[あさ]から 頭[あたま]が 痛[いた]くて 何[なに]も できない。","My head has hurt since morning and I can't do anything.","बिहानदेखि टाउको दुखेर केही गर्न सकिनँ।","疒 + 甬 (a surge of sickness passing through the body, causing sharp pain)","通 (とお・る) = 辶 + 甬 — same right side, same reading つう (頭痛 / 交通)","Which kanji means 'pain'? 頭が＿い","痛 / 桶 / 通","痛","痛 has 疒 (sickness). 通 has 辶 (pass through). 桶 (おけ, bucket) has 木.","N3 kanji batch3 vocab_linked kanji_day18 adj confusable"
"熱","heat; fever","ताप; ज्वरो","N3","ネツ","あつ・い","熱[ねつ] — fever; heat — ज्वरो; ताप<br>熱[あつ]い — hot (to the touch) — तातो<br>熱心[ねっしん] — enthusiastic — उत्साही<br>熱中[ねっちゅう] — absorption, being into — तल्लीन","熱[ねつ]が あるので 今日[きょう]は 休[やす]みます。","I have a fever, so I'll take today off.","ज्वरो आएकाले आज बिदा लिन्छु।","埶 + 灬 (intense fire underneath generating fever and heat)","暑[あつ]い (hot weather, 日) vs 熱[あつ]い (hot object/fever, 灬) — same reading; 勢 (いきお・い) shares 埶","Which kanji is 'hot' for objects and fever? ＿がある","熱 / 暑 / 勢","熱","熱 (灬 fire) = hot object or fever. 暑 (日 sun) = hot weather. Both read あつい. 勢 = force (勢い).","N3 kanji batch3 vocab_linked kanji_day18 noun adj confusable"
"治","cure; govern","निको हुनु; शासन","N3","ジ / チ","なお・る / なお・す / おさ・める","治[なお]る — to be cured, heal — निको हुनु<br>治[なお]す — to cure — निको पार्नु<br>治療[ちりょう] — medical treatment — उपचार<br>政治[せいじ] — politics — राजनीति","風邪[かぜ]が なかなか 治[なお]らない。","My cold just won't get better.","रुघा निकै निको हुँदैन।","氵 + 台 (controlling water from a platform to govern and heal the land)","直[なお]す (fix a thing) vs 治[なお]す (cure a body) — same reading; 始 (はじ・める) = 女 + 台","Which なおす is for illness? 風邪を＿す","治 / 始 / 直","治","治 (氵) is for bodies and illness (治る), and for governing. 直 is for fixing objects (直す). 始 has 女 (始める).","N3 kanji batch3 vocab_linked kanji_day18 verb confusable"
"薬","medicine","औषधि","N3","ヤク","くすり","薬[くすり] — medicine — औषधि<br>薬局[やっきょく] — pharmacy — औषधि पसल<br>薬指[くすりゆび] — ring finger — साहिँली औँला","この 薬[くすり]は 食後[しょくご]に 飲[の]んでください。","Please take this medicine after meals.","यो औषधि खाना खाएपछि खानुहोस्।","艹 + 楽 (herbs that bring comfort and ease your suffering)","楽 (たの・しい) — 薬 is 楽 with 艹 on top","Which kanji means 'medicine'? ＿を飲む","楽 / 落 / 薬","薬","薬 = 艹 + 楽. 楽 alone = fun / music (楽しい). 落 has 氵 + 各 under 艹 (落ちる).","N3 kanji batch3 vocab_linked kanji_day18 noun confusable"
