"kanji","meaning_en","meaning_ne","jlpt","onyomi","kunyomi","words","example","example_en","example_ne","component","confusable","disc_front","disc_options","disc_answer","disc_note","tags"
"決","decide; settle","निर्णय गर्नु, तय हुनु","N3","ケツ","き・める / き・まる","決[き]める — to decide — तय गर्नु<br>決[き]まる — to be decided — तय हुनु<br>決定[けってい] — decision — निर्णय<br>解決[かいけつ] — solution, resolution — समाधान","会議[かいぎ]で 来月[らいげつ]の 予定[よてい]を 決[き]めた。","We decided next month's schedule at the meeting.","बैठकमा अर्को महिनाको तालिका तय गर्‍यौँ।","氵 + 夬 (water breaking through a dam → decide and settle)","快 (かい, pleasant) shares 夬 on the right","","","","","N3 kanji batch1 vocab_linked kanji_day1 verb"
"変","change; strange","परिवर्तन; अनौठो","N3","ヘン","か・わる / か・える","変[か]わる — to change (intr.) — बदलिनु<br>変[か]える — to change (tr.) — बदल्नु<br>変化[へんか] — change — परिवर्तन<br>大変[たいへん] — serious; tough — गाह्रो, ठूलो<br>変[へん] — strange — अनौठो","予定[よてい]が 急[きゅう]に 変[か]わった。","The plans changed suddenly.","योजना अचानक बदलियो।","亦 + 夂 (someone walking 夂 in strange clothing 亦 → change, strange)","恋 (こい, love) — different top, both end in a similar lower stroke","Which kanji is in 大変 (serious, tough)? 大＿","変 / 亦 / 恋","変","変 has 亦 on top with 夂 (walking legs) below. 恋 has 心 (heart) below — that is 'love'.","N3 kanji batch1 vocab_linked kanji_day1 verb confusable"
"続","continue","जारी रहनु","N3","ゾク","つづ・く / つづ・ける","続[つづ]く — to continue (intr.) — जारी रहनु<br>続[つづ]ける — to continue (tr.) — जारी राख्नु<br>連続[れんぞく] — consecutive, in a row — लगातार<br>手続[てつづ]き — procedure, formalities — प्रक्रिया","雨[あめ]が 三日[みっか]も 続[つづ]いている。","It has kept raining for three whole days.","तीन दिनदेखि पानी परिरहेको छ।","糸 + 売 (selling 売 spools of thread 糸 without stopping → continue)","統 (とう, unify) — 糸 + 充; 読 (よ・む) also has 売","Which kanji is in 連続 (consecutive, in a row)? 連＿","続 / 読 / 統","続","続 = 糸 + 売. 統 has 充 on the right (統一, 伝統). 読 has 言 on the left — 'read'.","N3 kanji batch1 vocab_linked kanji_day1 verb confusable"
"増","increase","वृद्धि, बढ्नु","N3","ゾウ","ふ・える / ふ・やす / ま・す","増[ふ]える — to increase (intr.) — बढ्नु<br>増[ふ]やす — to increase (tr.) — बढाउनु<br>増加[ぞうか] — increase — वृद्धि<br>増[ま]す — to grow, gain (formal) — बढ्नु (औपचारिक)","人口[じんこう]が 増[ふ]えている。","The population is increasing.","जनसंख्या बढिरहेको छ।","土 + 曽 (piling more earth 土 onto the previous 曽 layer → increase)","減 (opposite: decrease); 憎 (にく・む hate, 忄); 贈 (おく・る give, 貝) — all share 曽","Which kanji is in 増加 (increase)? ＿加","減 / 増 / 憎 / 贈","増","増 = 土 + 曽. 減 is the opposite (decrease, 氵 + 咸). 憎 has 忄 (hate), 贈 has 貝 (gift).","N3 kanji batch1 vocab_linked kanji_day1 verb confusable"
"減","decrease","कमी, घट्नु","N2 (paired with 増; 減る is N3 vocab)","ゲン","へ・る / へ・らす","減[へ]る — to decrease (intr.) — घट्नु<br>減[へ]らす — to reduce (tr.) — घटाउनु<br>減少[げんしょう] — decrease — कमी<br>増減[ぞうげん] — increase and decrease — घटबढ","最近[さいきん] 体重[たいじゅう]が 少[すこ]し 減[へ]った。","My weight went down a little recently.","हालै तौल अलिकति घट्यो।","氵 + 咸 (all 咸 water 氵 drying up → decrease)","増 (opposite); 感 (かん, feel) = 咸 + 心","Which kanji is in 減少 (decrease)? ＿少","滅 / 増 / 減 / 感","減","減 = 氵 + 咸. 感 puts 心 under 咸 (feel). 増 is the opposite. 滅 (destroy) has 火 inside.","N3 kanji batch1 vocab_linked kanji_day1 verb confusable"
"選","choose","छान्नु","N3","セン","えら・ぶ","選[えら]ぶ — to choose — छान्नु<br>選択[せんたく] — choice, selection — छनोट<br>選手[せんしゅ] — player, athlete — खेलाडी<br>選挙[せんきょ] — election — चुनाव","好[す]きな 色[いろ]を 一[ひと]つ 選[えら]んでください。","Please choose one color you like.","मनपर्ने रङ एउटा छान्नुहोस्।","辶 + 巽 (moving 辶 between two people 巽 to choose the best one)","","","","","","N3 kanji batch1 vocab_linked kanji_day2 verb"
"比","compare","तुलना","N3","ヒ","くら・べる","比[くら]べる — to compare — तुलना गर्नु<br>比較[ひかく] — comparison — तुलना<br>比例[ひれい] — proportion — समानुपात","去年[きょねん]と 比[くら]べて 今年[ことし]は 暑[あつ]い。","Compared to last year, this year is hot.","गत वर्षसँग तुलना गर्दा यो वर्ष गर्मी छ।","匕 + 匕 (two people or spoons 匕 side by side to compare)","北 (north) — two figures back to back","Which kanji is in 比較 (comparison)? ＿較","比 / 此 / 北","比","比: both halves face the same direction (standing side by side = compare). 北: the two halves face away from each other (north).","N3 kanji batch1 vocab_linked kanji_day2 verb confusable"
"調","investigate; tune, condition","जाँच; अवस्था","N3","チョウ","しら・べる","調[しら]べる — to look up, investigate — जाँच गर्नु<br>調査[ちょうさ] — survey, investigation — सर्वेक्षण<br>調子[ちょうし] — condition; tone — अवस्था<br>調節[ちょうせつ] — adjustment — समायोजन","分[わ]からない 言葉[ことば]は 辞書[じしょ]で 調[しら]べる。","I look up words I don't know in the dictionary.","नबुझेको शब्द शब्दकोशमा हेर्छु।","言 + 周 (words 言 going all the way around 周 to investigate and tune)","週 (しゅう, week) = 辶 + 周; 周 (しゅう, circumference)","Which kanji is in 調査 (survey, investigation)? ＿査","調 / 週 / 周","調","調 has 言 (speech) on the left — asking and checking. 週 has 辶 (movement) — a cycle of days. 周 is bare.","N3 kanji batch1 vocab_linked kanji_day2 verb confusable"
"感","feel","भावना","N3","カン","—","感[かん]じる — to feel — महसुस गर्नु<br>感[かん]じ — feeling, impression — अनुभूति<br>感謝[かんしゃ] — gratitude — कृतज्ञता<br>感動[かんどう] — being moved — भावुक हुनु<br>感想[かんそう] — impressions, thoughts — प्रतिक्रिया","この 店[みせ]は 感[かん]じが いい。","This shop has a nice feel.","यो पसलको वातावरण राम्रो छ।","咸 + 心 (all 咸 external things striking the heart 心 → feel)","減 (へ・る) = 氵 + 咸","","","","","N3 kanji batch1 vocab_linked kanji_day2 verb"
"直","fix; straight, direct","सच्याउनु; सीधा","N3","チョク / ジキ","なお・す / なお・る / ただ・ちに","直[なお]す — to fix, repair — सच्याउनु, मर्मत गर्नु<br>直[なお]る — to be fixed, recover — ठीक हुनु<br>直接[ちょくせつ] — direct(ly) — प्रत्यक्ष<br>正直[しょうじき] — honest — इमानदार<br>素直[すなお] — obedient, frank — सोझो","壊[こわ]れた 時計[とけい]を 直[なお]してもらった。","I had the broken watch repaired.","बिग्रेको घडी मर्मत गराएँ।","十 + 目 + 乚 (ten 十 eyes 目 looking straight along an edge 乚 to fix it)","真 (しん, true) = 直 with 八 at the bottom; 値 (ね, price) and 植 (う・える) contain 直","Which kanji is in 直接 (direct(ly))? ＿接","直 / 真 / 値","直","直 stands alone. 真 adds 八 at the bottom (真面目, 写真). 値 adds 亻 on the left (値段).","N3 kanji batch1 vocab_linked kanji_day2 verb confusable"
