"kanji","meaning_en","meaning_ne","jlpt","onyomi","kunyomi","words","example","example_en","example_ne","component","confusable","disc_front","disc_options","disc_answer","disc_note","tags"
"政","government, politics","राजनीति, सरकार","N3","セイ","まつりごと","政治[せいじ] — politics — राजनीति<br>政府[せいふ] — government — सरकार<br>政策[せいさく] — policy — नीति<br>行政[ぎょうせい] — administration — प्रशासन","若[わか]い 人[ひと]の 政治[せいじ]への 関心[かんしん]が 低[ひく]い。","Young people's interest in politics is low.","युवाहरूको राजनीतिप्रति चासो कम छ।","正 + 攵 (taking action to enforce what is correct → government)","正 (ただ・しい) — 政 is 正 with 攵; 整 (ととの・える) also contains 正 + 攵","Which kanji is in 政治 (politics)? ＿治","政 / 正 / 整","政","政 = 正 + 攵. 正 alone = correct (正しい). 整 has 束 above 正 + 攵 (整理).","N3 kanji batch4 vocab_linked kanji_day25 noun confusable"
"府","government office; prefecture","सरकारी कार्यालय; प्रान्त","N3","フ","—","政府[せいふ] — government — सरकार<br>大阪府[おおさかふ] — Osaka Prefecture — ओसाका प्रान्त<br>府立[ふりつ] — prefectural — प्रान्तीय","政府[せいふ]は 新[あたら]しい 政策[せいさく]を 発表[はっぴょう]した。","The government announced a new policy.","सरकारले नयाँ नीति घोषणा गर्‍यो।","广 + 付 (a building where documents are submitted and handled → government office)","付 (つ・く) — 府 is 付 under 广; 附 = 阝 + 付","","","","","N3 kanji batch4 vocab_linked kanji_day25 noun"
"民","people, citizens","जनता","N3","ミン","たみ","国民[こくみん] — citizens, the people — नागरिक<br>市民[しみん] — citizen (of a city) — नगरवासी<br>民間[みんかん] — private sector — निजी क्षेत्र<br>住民[じゅうみん] — resident — बासिन्दा","この 制度[せいど]は 国民[こくみん]の 生活[せいかつ]に 影響[えいきょう]する。","This system affects citizens' lives.","यो प्रणालीले नागरिकको जीवनमा असर पार्छ।","pictograph (an eye marked to identify subjects → common people, citizens)","眠 (ねむ・る) = 目 + 民; 氏 (し, surname) looks similar","Which kanji means 'the people'? 国＿","眠 / 民 / 氏","民","民 has a horizontal bar through the lower part. 氏 (surname) lacks it. 眠 adds 目 on the left (眠い).","N3 kanji batch4 vocab_linked kanji_day25 noun confusable"
"法","law; method","कानुन; तरिका","N3","ホウ","—","法律[ほうりつ] — law — कानुन<br>方法[ほうほう] — method — तरिका<br>文法[ぶんぽう] — grammar — व्याकरण<br>違法[いほう] — illegal — गैरकानुनी","もっと いい 方法[ほうほう]が あるはずだ。","There must be a better way.","अझ राम्रो तरिका हुनुपर्छ।","氵 + 去 (water flowing steadily along its set course → law, method)","去 (さ・る, leave) — 法 is 去 with 氵","","","","","N3 kanji batch4 vocab_linked kanji_day25 noun"
"権","right, authority","अधिकार","N3","ケン","—","権利[けんり] — right (entitlement) — अधिकार<br>人権[じんけん] — human rights — मानव अधिकार<br>政権[せいけん] — political power, administration — सत्ता<br>権限[けんげん] — authority (scope of) — अधिकार क्षेत्र","誰[だれ]にでも 教育[きょういく]を 受[う]ける 権利[けんり]が ある。","Everyone has the right to receive an education.","सबैलाई शिक्षा पाउने अधिकार छ।","木 + 雚 (a wooden balancing scale weighing decisions → authority, rights)","観 (かん, 観光) = 雚 + 見; 確 (たし・か) has a similar right-side shape","Which kanji is in 権利 (right)? ＿利","観 / 勧 / 権","権","権 has 木 on the left. 観 has 見 on the right (観光). 勧 (すす・める) has 力 on the right (勧める).","N3 kanji batch4 vocab_linked kanji_day25 noun confusable"
"税","tax","कर","N3","ゼイ","—","税金[ぜいきん] — tax — कर<br>消費税[しょうひぜい] — consumption tax — उपभोग कर<br>税込[ぜいこ]み — tax included — कर सहित<br>所得税[しょとくぜい] — income tax — आयकर","この 値段[ねだん]は 税込[ぜいこ]みですか。","Does this price include tax?","यो मूल्यमा कर समावेश छ?","禾 + 兌 (grain handed over to the state → tax)","説 (せつ, 説明) = 言 + 兌; 脱 (ぬ・ぐ) = 月 + 兌","Which kanji means 'tax'? ＿金","脱 / 説 / 税","税","税 has 禾 (grain — taxes were paid in rice). 説 has 言 (説明). 脱 has 月 (脱ぐ).","N3 kanji batch4 vocab_linked kanji_day26 noun confusable"
"郵","postal","हुलाक","N3","ユウ","—","郵便[ゆうびん] — mail — हुलाक<br>郵便局[ゆうびんきょく] — post office — हुलाक कार्यालय<br>郵送[ゆうそう] — mailing — हुलाकबाट पठाउनु","この 書類[しょるい]は 郵便[ゆうびん]で 送[おく]ります。","I'll send these documents by mail.","यो कागजात हुलाकबाट पठाउँछु।","垂 + 阝 (a border relay post connecting towns → postal)","部 (ぶ) and 都 (と) also end in 阝","","","","","N3 kanji batch4 vocab_linked kanji_day26 noun"
"報","report; reward","सूचना; प्रतिफल","N3","ホウ","むく・いる","情報[じょうほう] — information — जानकारी<br>報告[ほうこく] — report — प्रतिवेदन<br>天気予報[てんきよほう] — weather forecast — मौसम पूर्वानुमान<br>報道[ほうどう] — news reporting — समाचार","詳[くわ]しい 情報[じょうほう]は ホームページで 確認[かくにん]してください。","Please check the website for detailed information.","विस्तृत जानकारी वेबसाइटमा हेर्नुहोस्।","幸 + 卩 + 又 (a hand placing handcuffs on a kneeling criminal to serve justice → report, reward)","幸 (しあわ・せ) is the left half of 報","","","","","N3 kanji batch4 vocab_linked kanji_day26 noun"
"告","tell, announce","सूचित गर्नु","N3","コク","つ・げる","報告[ほうこく] — report — प्रतिवेदन<br>広告[こうこく] — advertisement — विज्ञापन<br>予告[よこく] — advance notice; trailer — पूर्वसूचना<br>告[つ]げる — to tell, announce — बताउनु","上司[じょうし]に 結果[けっか]を 報告[ほうこく]した。","I reported the results to my boss.","हाकिमलाई नतिजा रिपोर्ट गरेँ।","牛 + 口 (speaking over a sacrificial ox to the gods → announce, tell)","先 (さき) has a similar top; 造 (つく・る) = 辶 + 告","","","","","N3 kanji batch4 vocab_linked kanji_day26 verb noun"
"挙","raise; hold (an event); cite","उठाउनु; आयोजना","N3","キョ","あ・げる / あ・がる","例[れい]を 挙[あ]げる — to give an example — उदाहरण दिनु<br>選挙[せんきょ] — election — चुनाव<br>挙[あ]げる — to raise (a hand); to hold (a ceremony) — उठाउनु; आयोजना गर्नु<br>一挙[いっきょ]に — all at once — एकैचोटि","分[わ]かる 人[ひと]は 手[て]を 挙[あ]げてください。","If you know, please raise your hand.","थाहा भएकाले हात उठाउनुहोस्।","⺍ + 手 (multiple hands lifting something upward together → raise)","上[あ]げる (raise/give) vs 挙[あ]げる (raise a hand, cite) vs 上[あ]がる — same reading","Which あげる is for citing an example? 例を＿げる","上 / 揚 / 挙","挙","挙げる = cite, raise a hand, hold a ceremony. 上げる = raise physically or give. 揚げる = deep-fry.","N3 kanji batch4 vocab_linked kanji_day26 verb confusable"
