#separator:tab
#html:false
#tags column:17
#columns:word	rank	word_furigana	reading	type	pos	english	nepali	sentence1	sentence1_en	sentence2	sentence2_en	sentence3	sentence3_en	frame	note	tags
取り組む	551	取[と]り 組[く]む	とりくむ	verb	v5 intransitive	to tackle; to work on (seriously)	लाग्नु (गम्भीरतापूर्वक); सम्हाल्नु	会社[かいしゃ]は 環境[かんきょう] 問題[もんだい]に 取[と]り 組[く]んでいる。	The company is tackling environmental issues.	新[あたら]しい 課題[かだい]に 真剣[しんけん]に 取[と]り 組[く]みたい。	I want to tackle the new task seriously.	どんな 仕事[しごと]にも 前向[まえむ]きに 取[と]り 組[く]む 姿勢[しせい]が 大切[たいせつ]だ。	A positive attitude toward any task is important.	Aに取り組む／取り組み（noun）	Takes に. 取り組み = an initiative/effort — corporate-report word.	N3 batch5 day23 verb
思い込む	552	思[おも]い 込[こ]む	おもいこむ	verb	v5 intransitive	to assume; to be convinced (often wrongly)	गलत धारणा बनाउनु; पक्का ठान्नु	会議[かいぎ]は 三時[さんじ]からだと 思[おも]い 込[こ]んでいた。	I had assumed the meeting was from three.	自分[じぶん]には 無理[むり]だと 思[おも]い 込[こ]まないで。	Do not convince yourself that you cannot do it.	彼[かれ]は 一度[いちど] 思[おも]い 込[こ]むと、 人[ひと]の 話[はなし]を 聞[き]かない。	Once he gets an idea in his head, he does not listen to others.	〜と思い込む／思い込み（noun）	思い込み = a fixed assumption. Usually wrong — that is the nuance.	N3 batch5 day23 verb
打ち合わせる	553	打[う]ち 合[あ]わせる	うちあわせる	verb	v1 transitive	to arrange beforehand; to hold a meeting about	पहिले नै सल्लाह गर्नु; बैठक गर्नु	来週[らいしゅう]のイベントについて 打[う]ち 合[あ]わせた。	We had a meeting about next week's event.	詳[くわ]しい 内容[ないよう]は 明日[あした] 打[う]ち 合[あ]わせましょう。	Let us arrange the details tomorrow.	担当者[たんとうしゃ]と 打[う]ち 合[あ]わせてから、 返事[へんじ]します。	I will reply after conferring with the person in charge.	Aについて打ち合わせる／打ち合わせ（noun）	打ち合わせ (noun) is the everyday office word for a working meeting. 会議 = formal meeting.	N3 batch5 day23 verb
話しかける	554	話[はな]しかける	はなしかける	verb	v1 intransitive	to speak to; to address (someone)	बोल्न थाल्नु; कुरा गर्न जानु	知[し]らない 人[ひと]に 話[はな]しかけるのは 勇気[ゆうき]がいる。	It takes courage to speak to a stranger.	隣[となり]の 席[せき]の 人[ひと]が 急[きゅう]に 話[はな]しかけてきた。	The person in the next seat suddenly struck up a conversation.	忙[いそが]しそうだったので、 話[はな]しかけるのをやめた。	He seemed busy, so I decided not to speak to him.	Aに話しかける	V-stem＋かける = start to do / do toward someone. 話しかけてくる = approach you.	N3 batch5 day23 verb
呼びかける	555	呼[よ]びかける	よびかける	verb	v1 intransitive	to call out to; to appeal to (the public)	बोलाउनु; आह्वान गर्नु	市[し]は 市民[しみん]に 節電[せつでん]を 呼[よ]びかけている。	The city is calling on residents to save electricity.	遠[とお]くから 名前[なまえ]を 呼[よ]びかけられた。	Someone called my name from afar.	ボランティアへの 参加[さんか]を 呼[よ]びかけるポスターを 作[つく]った。	We made a poster appealing for volunteer participation.	AにBを呼びかける	News-Japanese: 注意を呼びかける = urge caution. 呼びかけ = an appeal.	N3 batch5 day23 verb
追いつく	556	追[お]いつく	おいつく	verb	v5 intransitive	to catch up with	भेट्टाउनु (पछि परेर)	走[はし]って、やっと 前[まえ]の 人[ひと]に 追[お]いついた。	I ran and finally caught up with the person ahead.	一週間[いっしゅうかん] 休[やす]んだので、 授業[じゅぎょう]に 追[お]いつくのが 大変[たいへん]だ。	I missed a week, so catching up with class is hard.	生産[せいさん]が 需要[じゅよう]に 追[お]いつかない。	Production cannot keep up with demand.	Aに追いつく	Takes に. Pair: 追い越す (overtake, next). Both from 追う (batch2).	N3 batch5 day23 verb
追い越す	557	追[お]い 越[こ]す	おいこす	verb	v5 transitive	to overtake; to pass	उछिन्नु	高速[こうそく] 道路[どうろ]でトラックを 追[お]い 越[こ]した。	I overtook a truck on the expressway.	弟[おとうと]の 身長[しんちょう]が 兄[あに]を 追[お]い 越[こ]した。	The younger brother's height has surpassed his older brother's.	ここは 追[お]い 越[こ]し 禁止[きんし]です。	No overtaking here.	Aを追い越す	Takes を. 追いつく = draw level; 追い越す = go past. 追い抜く is similar.	N3 batch5 day23 verb
引き返す	558	引[ひ]き 返[かえ]す	ひきかえす	verb	v5 intransitive	to turn back; to return	फर्कनु (आधा बाटोबाट)	忘[わす]れ 物[もの]に 気[き]づいて、 家[いえ]に 引[ひ]き 返[かえ]した。	I realized I forgot something and turned back home.	天気[てんき]が 悪[わる]くなったので、 途中[とちゅう]で 引[ひ]き 返[かえ]した。	The weather turned bad, so we turned back partway.	もう 引[ひ]き 返[かえ]せないところまで 来[き]てしまった。	We have come to a point of no return.	Aに引き返す／途中で引き返す	Turning back mid-journey. 戻る = go back (general).	N3 batch5 day23 verb
引き出す	559	引[ひ]き 出[だ]す	ひきだす	verb	v5 transitive	to withdraw (money); to draw out (ability)	निकाल्नु (पैसा, क्षमता)	銀行[ぎんこう]で 現金[げんきん]を 引[ひ]き 出[だ]した。	I withdrew cash at the bank.	いい 先生[せんせい]は 生徒[せいと]の 能力[のうりょく]を 引[ひ]き 出[だ]す。	A good teacher draws out students' abilities.	彼女[かのじょ]から 本当[ほんとう]の 気持[きも]ちを 引[ひ]き 出[だ]すのは 難[むずか]しい。	Drawing out her true feelings is difficult.	Aを引き出す（お金・能力）	ATM word: 引き出し = withdrawal (also = drawer). Opposite: 預ける (batch2).	N3 batch5 day23 verb
取り出す	560	取[と]り 出[だ]す	とりだす	verb	v5 transitive	to take out; to pull out	झिक्नु; बाहिर निकाल्नु	かばんから 財布[さいふ]を 取[と]り 出[だ]した。	I took my wallet out of my bag.	冷蔵庫[れいぞうこ]から 卵[たまご]を 取[と]り 出[だ]して、 割[わ]る。	Take the eggs out of the fridge and crack them.	必要[ひつよう]なデータだけを 取[と]り 出[だ]す。	Extract only the necessary data.	AからBを取り出す	Physical and data extraction. For a data engineer: データを取り出す.	N3 batch5 day23 verb
