"grammar","formation","meaning_en","meaning_ne","ex1","ex1_reading","ex1_en","ex1_ne","ex2","ex2_reading","ex2_en","ex2_ne","ex3","ex3_reading","ex3_en","ex3_ne","frame","nuance","spoken","contrast","trap","cloze_front","cloze_answer","disc_front","disc_options","disc_answer","disc_why","disc_wrong","contrast_front","contrast_answer","contrast_note","tags"
"〜ばかりに","plain + ばかりに (な-adj + な, N + である); most often V-た + ばかりに","just because ~ (one small cause, bad result, regret)","… भएकै कारणले (सानो कारण, नराम्रो नतिजा, पछुतो)","一度遅刻したばかりに、信用を失ってしまった。","いちど ちこくした ばかりに、しんようを うしなって しまった。","Just because I was late once, I lost their trust.","एक पटक ढिलो भएकै कारणले विश्वास गुमाएँ।","道を間違えたばかりに、試験に間に合わなかった。","みちを まちがえた ばかりに、しけんに まにあわなかった。","Just because I took a wrong turn, I missed the exam.","बाटो बिराएकै कारणले परीक्षा छुट्यो।","日本語ができないばかりに、いい仕事が見つからない。","にほんごが できない ばかりに、いい しごとが みつからない。","Only because I can't speak Japanese, I can't find a good job.","जापानी नआउँदाकै कारणले राम्रो काम भेटिँदैन।","[single cause]ばかりに、[bad result]","One cause, often minor and often the speaker's own doing, leads to a bad result; carries regret. Not for neutral or good results.","rare in speech; speech uses せいで","ばかりに ↔ せいで","ばかりに = one small cause plus regret; せいで = general blame for any cause","一度遅刻した＿＿＿＿、信用を失ってしまった。","ばかりに","道を間違えた＿＿＿＿、試験に間に合わなかった。","A ばかりに / B ばかりで / C ばかりか / D ばかりだ","A ばかりに","A single mistake leads to a bad outcome, with regret.","B ばかりで means 'doing nothing but X' (てばかりで / Nばかりで); after a た-form it is not the causal pattern.","An external cause you don't blame yourself for. 台風＿＿＿＿、飛行機が飛ばなかった。","のせいで","せいで fits because the cause is external and the sentence is plain blame; ばかりに would need a single action (usually the speaker's) and a note of regret, and a typhoon is neither. 台風のせいで飛ばなかった / 予約を忘れたばかりに乗れなかった.","N3 grammar cause confusable"
"〜ばかりでなく","N / plain + ばかりでなく(て)、〜も (な-adj + な)","not only ~ but also ~ (formal)","… मात्र होइन, … पनि (औपचारिक)","この製品は国内ばかりでなく、海外でも売れている。","このせいひんは こくない ばかりでなく、かいがいでも うれている。","This product sells not only domestically but overseas too.","यो उत्पादन स्वदेशमा मात्र होइन, विदेशमा पनि बिक्छ।","この薬は効かないばかりでなく、副作用もある。","このくすりは きかない ばかりでなく、ふくさようも ある。","This medicine not only doesn't work, it has side effects too.","यो औषधीले काम नगर्ने मात्र होइन, साइड इफेक्ट पनि छ।","彼女は歌が上手なばかりでなく、ダンスもうまい。","かのじょは うたが じょうずな ばかりでなく、ダンスも うまい。","She not only sings well but dances well too.","उनी गाउन मात्र होइन, नाच्न पनि सिपालु छिन्।","[X]ばかりでなく、[Y]も","Same structure as だけでなく but more formal/written; the second clause needs も / まで.","だけでなく / だけじゃなく","ばかりでなく ↔ だけでなく (register only)","do not confuse with ばかりに (cause) or てばかりで (only doing)","この製品は国内＿＿＿＿＿＿、海外でも売れている。","ばかりでなく","この薬は効かない＿＿＿＿＿＿、副作用もある。","A ばかりでなく / B ばかりに / C ばかりだ / D ことから","A ばかりでなく","Adds a second negative point, marked by も.","B ばかりに would make 'not working' the cause of a resulting event, but 副作用もある is an added fact, not a result.","","","","N3 grammar addition"
"〜あまり","N + の + あまり; V-dict / V-た + あまり; あまりに(も) + adj / V","because of too much ~; so ~ that ~","अत्यधिक … भएर / धेरै … भएकोले","うれしさのあまり、泣いてしまった。","うれしさの あまり、ないて しまった。","I was so happy I cried.","धेरै खुसी भएर रोइहालें।","心配のあまり、夜も眠れなかった。","しんぱいの あまり、よるも ねむれなかった。","I was so worried I couldn't sleep at night.","धेरै चिन्ता भएर रातभर सुत्न सकिनँ।","あまりに安かったので、三つも買ってしまった。","あまりに やすかったので、みっつも かって しまった。","It was so cheap that I bought three.","अति सस्तो भएकाले तीनवटै किनिहालें।","[emotion N]のあまり、[unusual result] ・ あまりに[adj]ので","An extreme degree of emotion or state causes an unusual, often uncontrolled result. The noun is typically an emotion (うれしさ, 心配, 驚き).","あまりに(も) occurs in speech; Nのあまり is written","あまり ↔ すぎて","Nのあまり takes emotion/state nouns and the result is something abnormal, not a neutral consequence","うれしさ＿＿＿＿、泣いてしまった。","のあまり","心配＿＿＿＿、夜も眠れなかった。","A のあまり / B のうえに / C のたびに / D のうちに","A のあまり","Extreme worry produces an abnormal result (no sleep).","B のうえに would add a second item on top of worry, but 眠れなかった is a result of the worry, not an addition to it.","","","","N3 grammar degree cause"
"〜せいか","plain + せいか (な-adj + な, N + の)","perhaps because ~ (uncertain cause, usually a bad result)","… को कारणले होला (अनिश्चित कारण)","疲れているせいか、頭が痛い。","つかれている せいか、あたまが いたい。","Maybe because I'm tired, I have a headache.","थाकेको कारणले होला, टाउको दुखेको छ।","年のせいか、最近物忘れが多い。","としの せいか、さいきん ものわすれが おおい。","Maybe it's my age, but I forget things a lot lately.","उमेरको कारणले होला, आजकल धेरै बिर्सन्छु।","雨が降ったせいか、客が少ない。","あめが ふった せいか、きゃくが すくない。","Possibly because it rained, there are few customers.","पानी परेकोले होला, ग्राहक कम छन्।","[possible cause]せいか、[observed result]","The speaker guesses the cause; the result is usually negative. A neutral guess uses ためか.","same","せいか ↔ せいで","せいか = the cause is a guess (か marks uncertainty); せいで = the cause is asserted","疲れている＿＿＿、頭が痛い。","せいか","年＿＿＿、最近物忘れが多い。","A のせいか / B のおかげで / C のたびに / D のあまり","A のせいか","A guessed cause for a negative result.","B のおかげで requires a good result; forgetting things is not one.","You know for a fact why you missed the train. 寝坊した＿＿＿、電車に遅れた。","せいで","せいで fits because the cause is certain and stated as blame; せいか would hedge with 'perhaps', which is wrong when you know you overslept. 寝坊したせいで遅れた / 寝不足のせいか、集中できない.","N3 grammar cause confusable"
"〜ことだから","N (a person) + の + ことだから","knowing ~; since it's ~ (as you'd expect of that person)","… भएकाले (त्यो मान्छेको स्वभाव जानेर)","まじめな田中さんのことだから、時間通りに来るだろう。","まじめな たなかさんの ことだから、じかんどおりに くる だろう。","Knowing how serious Tanaka is, he'll come on time.","इमानदार तानाका भएकाले समयमै आउलान्।","あなたのことだから、きっと合格するよ。","あなたの ことだから、きっと ごうかくするよ。","Knowing you, you'll surely pass.","तिमी भएकाले पक्कै पास हुन्छौ।","忘れっぽい弟のことだから、また傘を置いてきたに違いない。","わすれっぽい おとうとの ことだから、また かさを おいてきたに ちがいない。","Knowing my forgetful brother, he's left his umbrella behind again.","बिर्सने भाइ भएकाले फेरि छाता छोडेर आयो होला।","[person]のことだから、[prediction]","A prediction based on the known character of a person; the main clause is a guess (だろう / きっと / に違いない).","same","ことだから ↔ ことから","ことだから takes a person and predicts; ことから takes a fact and concludes or names","まじめな田中さん＿＿＿＿＿、時間通りに来るだろう。","のことだから","あなた＿＿＿＿＿、きっと合格するよ。","A のことだから / B のことから / C のせいか / D のばかりに","A のことだから","A person's character grounds a prediction (きっと).","B のことから needs an observable fact as its base and a conclusion or name after it; あなた is a person and the main clause is a prediction.","A town named after a fact about it. 川が多い＿＿＿、「水の町」と呼ばれている。","ことから","ことから fits because the base is a fact (川が多い) and the result is a name; ことだから would need a person before it and a prediction after it. 川が多いことから / 彼のことだから.","N3 grammar reason confusable"
"〜上に","plain + 上に (な-adj + な, N + の)","on top of ~; in addition to ~","… मात्र होइन, त्यसमाथि …","この店は安い上に、量も多い。","このみせは やすい うえに、りょうも おおい。","This place is cheap, and on top of that the portions are big.","यो पसल सस्तो, त्यसमाथि परिमाण पनि धेरै।","道に迷った上に、雨まで降ってきた。","みちに まよった うえに、あめまで ふってきた。","I got lost, and on top of that it started raining.","बाटो हराएँ, त्यसमाथि पानी पनि पर्न थाल्यो।","彼は仕事が忙しい上に、家事もしなければならない。","かれは しごとが いそがしい うえに、かじも しなければ ならない。","He's busy at work and also has to do the housework.","ऊ काममा व्यस्त, त्यसमाथि घरधन्दा पनि गर्नुपर्छ।","[X]上に、[Y]も／まで","Piles a second item of the same polarity (good + good, bad + bad) on the first.","casual それに","上に ↔ 上で","上に = addition (also); 上で = sequence (after doing X, then)","この店は安い＿＿＿、量も多い。","上に","道に迷った＿＿＿、雨まで降ってきた。","A 上に / B 上で / C 上は / D 上の","A 上に","Two misfortunes stacked, signalled by まで.","B 上で would mean 'after getting lost, then (deliberately) rain came' — a step-then-action sequence, which makes no sense here.","Deciding after consulting your family. 家族と相談した＿＿＿、決めたいと思います。","上で","上で fits because it marks a step completed before a deliberate next action; 上に would present 相談 and 決める as two parallel items, which is not the meaning. 相談した上で決める / 忙しい上に疲れている.","N3 grammar addition confusable"
"〜上で","V-た + 上で; N + の + 上で","after ~ (and then, on that basis)","… गरेपछि (त्यसको आधारमा)","内容をよく確認した上で、サインしてください。","ないようを よく かくにんした うえで、サインして ください。","Please sign after checking the contents carefully.","सामग्री राम्ररी जाँचेपछि सही गर्नुहोस्।","実際に見学した上で、入学を決めた。","じっさいに けんがくした うえで、にゅうがくを きめた。","I decided to enrol after actually visiting.","वास्तवमा हेरेपछि भर्ना हुने निर्णय गरें।","家族と相談した上で、決めたいと思います。","かぞくと そうだんした うえで、きめたいと おもいます。","I'd like to decide after consulting my family.","परिवारसँग सल्लाह गरेपछि निर्णय गर्न चाहन्छु।","[V-た]上で、[considered action]","The first action is a necessary preparation and the second is a deliberate decision or step. More formal than てから.","casual てから","上で ↔ 上に; 上で ↔ てから","takes た-form or Nの, and the second clause is a deliberate act; not for plain time sequence of everyday events","内容をよく確認した＿＿＿、サインしてください。","上で","実際に見学した＿＿＿、入学を決めた。","A 上で / B 上に / C 上は / D 上を","A 上で","The visit is the basis for the decision that follows.","B 上に would read 'in addition to visiting, I also decided', two parallel facts, but 見学 is the basis, not an addition.","","","","N3 grammar sequence"
"たとえ〜ても","たとえ + V-て / い-adj-くて + も; な-adj / N + でも","even if ~ (hypothetical or extreme)","यदि … भए पनि / जे भए पनि","たとえ雨が降っても、試合は行われる。","たとえ あめが ふっても、しあいは おこなわれる。","Even if it rains, the match will be held.","पानी परे पनि खेल हुन्छ।","たとえ失敗しても、あきらめない。","たとえ しっぱいしても、あきらめない。","Even if I fail, I won't give up.","असफल भए पनि हार मान्दिनँ।","たとえどんなに高くても、この本は買う。","たとえ どんなに たかくても、このほんは かう。","No matter how expensive, I'll buy this book.","जति महँगो भए पनि यो किताब किन्छु।","たとえ[condition]ても、[unchanged result]","たとえ marks the condition as hypothetical or extreme; the result holds regardless. Often with どんなに.","same","たとえ〜ても ↔ ても (plain)","たとえ must pair with ても / でも, not with のに or が","＿＿＿雨が降っても、試合は行われる。","たとえ","たとえ失敗＿＿＿、あきらめない。","A しても / B したのに / C するなら / D したから","A しても","たとえ requires a ても clause.","B したのに states an actual outcome ('although I failed'), but たとえ demands a hypothetical.","","","","N3 grammar concession"
"〜くせに","plain + くせに (な-adj + な, N + の)","even though ~ (contempt, criticism of a person)","… भएर पनि (आलोचना, तिरस्कार)","彼は知っているくせに、教えてくれない。","かれは しっている くせに、おしえて くれない。","He knows, but he won't tell me.","उसलाई थाहा छ, तै पनि भन्दैन।","自分は何もしないくせに、文句ばかり言う。","じぶんは なにも しない くせに、もんくばかり いう。","He does nothing himself but complains constantly.","आफूले केही नगरी गुनासो मात्र गर्छ।","学生のくせに、高い車に乗っている。","がくせいの くせに、たかい くるまに のっている。","He's just a student, yet he drives an expensive car.","विद्यार्थी भएर पनि महँगो गाडी चलाउँछ।","[person's attribute or act]くせに、[criticised behaviour]","Criticism of a person; both clauses share the same human subject. Never about the speaker, and never about weather or things.","くせして (colloquial variant)","くせに ↔ のに","のに = neutral 'although', any subject; くせに = contempt, same human subject","彼は知っている＿＿＿、教えてくれない。","くせに","自分は何もしない＿＿＿、文句ばかり言う。","A くせに / B ばかりに / C せいか / D うちに","A くせに","Contempt for a person whose behaviour contradicts their position.","B ばかりに would make 'doing nothing' the regretted cause of complaining, which is not the relation here.","You're talking about yourself, with disappointment, not contempt. 一生懸命練習した＿＿＿、負けてしまった。","のに","のに fits because the subject is the speaker and the tone is disappointment; くせに cannot be used about oneself and expresses contempt toward someone else. 練習したのに負けた / 練習もしないくせに文句を言う.","N3 grammar concession confusable"
"〜ながら（も）","V-stem / い-adj / な-adj / N + ながら(も)","although ~; despite ~ (contrary to expectation)","… भए पनि / … जान्दाजान्दै पनि","悪いと知りながら、嘘をついてしまった。","わるいと しりながら、うそを ついて しまった。","Even though I knew it was wrong, I lied.","गलत हो भन्ने जान्दाजान्दै झुट बोलें।","この部屋は狭いながらも、居心地がいい。","このへやは せまい ながらも、いごこちが いい。","This room is small, but comfortable.","यो कोठा सानो भए पनि आरामदायी छ।","残念ながら、今回は参加できません。","ざんねんながら、こんかいは さんかできません。","Unfortunately, I can't take part this time.","दुर्भाग्यवश यस पटक सहभागी हुन सक्दिनँ।","[state]ながら(も)、[contrary fact]","Concessive use; attaches to states (知る, ある, adjectives, nouns). The simultaneous-action ながら (歩きながら) is a separate use.","written/formal; speech uses けど / のに","ながら(も) ↔ ながら (simultaneous action)","with adjectives, nouns, and state verbs it means 'although'; with action verbs it means 'while doing'","悪いと知り＿＿＿、嘘をついてしまった。","ながら","この部屋は狭い＿＿＿＿、居心地がいい。","A ながらも / B ばかりに / C 上に / D せいか","A ながらも","A drawback followed by a contrary positive.","C 上に stacks items of the same polarity (small AND uncomfortable); here 狭い (bad) is contrasted with 居心地がいい (good).","","","","N3 grammar concession"
